Date,Agency,Category,Title,Link
11. May 2026,ANVISA,Report,ANVISA Ombudsman Annual Report 2025,https://www.linkedin.com/feed/update/urn:li:activity:7457684596743315456/

11. May 2026,European Commission,Guidance,PMSV Reporting Forms MIR PDF 7.3.1 EC PMSV Reporting page updated 7 May 2026.,https://www.linkedin.com/feed/update/urn:li:activity:7458419926471729152/
11. May 2026,European Commission,News,"AI is changing fast, and we are making sure our rules keep up.",https://www.linkedin.com/feed/update/urn:li:activity:7458141804190810113/
11. May 2026,European Commission,Regulation,Implementing Regulation (EU) 2026/977 laying down uniform quality management and procedural requirements for notified bodies (MDR/IVDR),https://www.linkedin.com/feed/update/urn:li:activity:7457352343366488065/
11. May 2026,"European Directorate for the Quality of Medicines & HealthCare (EDQM), Council of Europe",Guidance,Official Control Authority Batch Release of mRNA Vaccines Produced with LNPs,https://www.linkedin.com/feed/update/urn:li:activity:7458387096844517376/
11. May 2026,"European Directorate for the Quality of Medicines & HealthCare (EDQM), Council of Europe",Guidance,Revision/Renewal of Certificates of Suitability to the European Pharmacopoeia Monographs,https://www.linkedin.com/feed/update/urn:li:activity:7458394781480574976/
11. May 2026,"European Directorate for the Quality of Medicines & HealthCare (EDQM), Council of Europe",Recommendation,Recommendation CM/Rec(2026)7 on Best Practices for the Remote and Online Provision of Medicines,https://www.linkedin.com/feed/update/urn:li:activity:7457698061184774144/
11. May 2026,European Health Data Alliance e.V.,Post,"Europe is building the worlds largest health data space - but without trust, it will not succeed.",https://www.linkedin.com/feed/update/urn:li:activity:7457792251704922113/
11. May 2026,European Medicines Agency,Meeting,Meeting highlights from the Pharmacovigilance Risk Assessment Committee (PRAC) 4-7 May 2026,https://www.linkedin.com/feed/update/urn:li:activity:7458515910266359809/
11. May 2026,European Medicines Agency,Guidance,CTIS Training Programme Module 16 FAQs: Supervise a Clinical Trial Inspection Records,https://www.linkedin.com/feed/update/urn:li:activity:7457705941174583296/
11. May 2026,European Medicines Agency,Guidance,Q&A on Implementation of Ph.,https://www.linkedin.com/feed/update/urn:li:activity:7457708855754489856/
11. May 2026,European Union,Press Release,Artificial Intelligence: Council and Parliament Agree to Simplify and Streamline Rules,https://www.linkedin.com/feed/update/urn:li:activity:7458406745212801024/
11. May 2026,Health Products Regulatory Authority (HPRA),Guidance,Promoting medicines to the public on social media,https://www.linkedin.com/feed/update/urn:li:activity:7458021893112119297/
11. May 2026,ISO - International Organization for Standardization,Standards,"Update April 1. to May 1. 2026 MedTech, IVD, Pharma, Biotechnology, Digital Health & Informatics",https://www.linkedin.com/feed/update/urn:li:activity:7457314236482928640/
11. May 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Export drugs and medicines: special rules,https://www.linkedin.com/feed/update/urn:li:activity:7458025370454315010/
11. May 2026,MedTech Europe,Newsletter,MedTech Europe New EU Rules: More Business Predictability and Transparency in MedTech Conformity Assessment,https://www.linkedin.com/feed/update/urn:li:activity:7458401370287640576/
11. May 2026,MedTech Europe,Postion Paper,MedTech Europe MDR/IVDR Revision: A Regulatory System at a Crossroads MedTech Europe Position & Proposed Amendments,https://www.linkedin.com/feed/update/urn:li:activity:7457693800090640384/
11. May 2026,MedTech Europe,Post,Health Care System and Market Access in Finland,https://www.linkedin.com/feed/update/urn:li:activity:7456929349506707456/
11. May 2026,MedTech Europe,Post,Diabetes Sector Committees Position on the Safe Hearts Plan (April 2026),https://www.linkedin.com/feed/update/urn:li:activity:7456930571630305280/
11. May 2026,South African Health Products Regulatory Authority,Communication,Bioequivalence Studies Performed by Contract Research Organisation (Raptim Research Pvt.,https://www.linkedin.com/feed/update/urn:li:activity:7458408763817926657/
11. May 2026,Swissmedic,Newsletter,Swissmedic Vigilance News Edition 36 (May 2026),https://www.linkedin.com/feed/update/urn:li:activity:7458414037467525120/
11. May 2026,Therapeutic Goods Administration,Guidance,About the AusUDID,https://www.linkedin.com/feed/update/urn:li:activity:7457699736599445504/
11. May 2026,USA Food & Drug Administration FDA,Announcment,FDA CDRHs Experiential Learning Program (ELP),https://www.linkedin.com/feed/update/urn:li:activity:7458423706474827777/
11. May 2026,USA Food & Drug Administration FDA,Guidance,Submitting Continuous Glucose Monitoring Data in Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7458389691667734529/
11. May 2026,USA Food & Drug Administration FDA,Guidance,FDA Patient-Matched Guides for Orthopedic Implants,https://www.linkedin.com/feed/update/urn:li:activity:7458038937043861504/
11. May 2026,USA Food & Drug Administration FDA,News,FDA Expands AI Capabilities and Completes Data Platform Consolidation,https://www.linkedin.com/feed/update/urn:li:activity:7458017274759835648/
11. May 2026,USA Food & Drug Administration FDA,News,FDA Launches One-Day Inspectional Assessments to Strengthen and Expand Oversight,https://www.linkedin.com/feed/update/urn:li:activity:7458019539054784512/
11. May 2026,USA Food & Drug Administration FDA,Guidance,"FDA Chemistry, Manufacturing, and Controls Flexibilities for Developing Human Cellular and Gene Therapy Products for a Biologics License Application",https://www.linkedin.com/feed/update/urn:li:activity:7457703639869059072/
11. May 2026,World Health Organization,Online Coures,WHO: New Online Course Strengthens Good Practices in Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7457688009900109825/
