Date,Agency,Category,Information,
13. October 2025,European Commission,Communication,Apply AI Strategy,https://www.linkedin.com/feed/update/urn:li:activity:7381971318679846913?
13. October 2025,European Commission,Communication,AI Science in Europe (RAISE),https://www.linkedin.com/feed/update/urn:li:activity:7381975877775036416?
13. October 2025,European Commission,Update,Notified Body Update (51) Active MDR (18) IVDR 1 Withdrawn,https://www.linkedin.com/posts/mariogabriellicossellu_notifiedbody-mdr-smcs-activity-7381230636881190912-TPLb?
13. October 2025,European Directorate for the Quality of Medicines & HealthCare,Consultation,Quantification method for suspect adulteration with EG &DEG in the Ph. Eur,https://www.linkedin.com/feed/update/urn:li:activity:7382000202410364929?
13. October 2025,European Directorate for the Quality of Medicines & HealthCare,Report,Certification monthly report of activities: End of September 2025,https://www.linkedin.com/feed/update/urn:li:activity:7382358707713757184?
13. October 2025,European Data Protection Supervisor,Report,EDPS Opinions - September 2025 Recap,https://www.linkedin.com/feed/update/urn:li:activity:7381677328675938304?
13. October 2025,European Medicines Agency,Guidance,Q&A on Impact of EU-USA Mutual Recognition Agreement,https://www.linkedin.com/feed/update/urn:li:activity:7381916358122414080?
13. October 2025,European Medicines Agency,Guidance,Quick Guide for UPD Notifications via the User Interface and via Email,https://www.linkedin.com/feed/update/urn:li:activity:7381916378704035840?
13. October 2025,European Medicines Agency,Report,Mid-year report 2025 (January-June 2025),https://www.linkedin.com/feed/update/urn:li:activity:7381916346458165248?
13. October 2025,European Medicines Agency,Report,Annual Report of the Pharmacovigilance Inspectors Working Group for 2024,https://www.linkedin.com/feed/update/urn:li:activity:7382362047990091776?
13. October 2025,European Medicines Agency,Guidance,"Q&A, Article 5(3) of Regulation (EC) No 726/2004 on nitrosamine impurities",https://www.linkedin.com/feed/update/urn:li:activity:7382453659634249728?
13. October 2025,European Medicines Agency,Guidance,ICH M14 general principles-non-interventional studies that utilise Real-World Data,https://www.linkedin.com/feed/update/urn:li:activity:7382463009786441728?
13. October 2025,European Medicines Agency,Guidance,SmPC Guideline and Paediatric Aspects - SmPC Training Presentation,https://www.linkedin.com/feed/update/urn:li:activity:7382466354832117760?
13. October 2025,International Medical Device Regulators Forum,Consultation,Essential Principles & Content of Predetermined Change Control Plans,https://www.linkedin.com/feed/update/urn:li:activity:7382278724983111680?
13. October 2025,"Health Products Regulatory Authority (HPRA), Ireland",Guidance,Guide to regulatory requirements for the procurement of human tissues and cells,https://www.linkedin.com/feed/update/urn:li:activity:7380829170873888768?
13. October 2025,"Health Products Regulatory Authority (HPRA), Ireland",Consultation,Annual Review and Proposal for Fees Human - Financial Year 2026,https://www.linkedin.com/feed/update/urn:li:activity:7381191600921657344?
13. October 2025,"Health Products Regulatory Authority (HPRA), Ireland",Consultation,Annual Review and Proposal for Fees Veterinary - Financial Year 2026,https://www.linkedin.com/feed/update/urn:li:activity:7381191638540316672?
13. October 2025,Department of Health Hong Kong Special Administration,Guidance,Overview of Hong Kong Medical Device Listing Process,https://www.linkedin.com/feed/update/urn:li:activity:7382314254428958720?
13. October 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7381221782629851137?
13. October 2025,Medicines and Healthcare products Regulatory Agency,Press Release,UK & US regulators forge new collaboration on medical technologies and AI,https://www.linkedin.com/feed/update/urn:li:activity:7381733444512395264?
13. October 2025,MedTech Europe,Response,Call for Evidence on the European Innovation Act,https://www.linkedin.com/feed/update/urn:li:activity:7381916355035406337?
13. October 2025,Swissmedic,Forms,Swissmedic Forms for October 2025,
13. October 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Understanding nitrosamine risk in listed medicines,https://www.linkedin.com/feed/update/urn:li:activity:7381212613629652992?
13. October 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Understanding clinical decision support software,https://www.linkedin.com/feed/update/urn:li:activity:7381216144185036800?
13. October 2025,World Health Organisation WHO,News,WHO launches the Global Clinical Trials Forum,https://www.linkedin.com/feed/update/urn:li:activity:7381990476264054784?
