Date,Agency,Category,Title,Link
16. February 2026,Therapeutic Goods Administration,Guidance,Therapeutic Goods Administration Understanding the requirements for over-the-counter (OTC) new medicine N2 applications Defines requirements for OTC new medicine N2 applications under section 23 of the Therapeutic Goods Act 1989,https://www.linkedin.com/feed/update/urn:li:activity:7426515348159553536/
16. February 2026,Therapeutic Goods Administration,Guidance,Therapeutic Goods Administration Determining the application level for umbrella-branded over-the-counter (OTC) medicines TGA guidance to help OTC sponsors determine whether umbrella branding triggers a higher assessment level,https://www.linkedin.com/feed/update/urn:li:activity:7426512470900445184/
16. February 2026,Therapeutic Goods Administration,Guidance,Therapeutic Goods Administration Reporting of medical device adverse events by healthcare facilities,https://www.linkedin.com/feed/update/urn:li:activity:7426505180453543936/
16. February 2026,Health Canada,Guidance,"Health Canada | Sante Canada GUI-0036: Annex 13 to the Good Manufacturing Practices Guide - Drugs used in Clinical Trials Health Canada has issued version 3 of GUI-0036, replacing the 2009 version,",https://www.linkedin.com/feed/update/urn:li:activity:7426505163055652864/
16. February 2026,Health Canada,Guidance,"Health Canada | Sante Canada Additional information to accompany the proposed Order providing for reliance on decisions of, or documents produced by, foreign regulatory authorities in respect of certain drugs",https://www.linkedin.com/feed/update/urn:li:activity:7426505167711252480/
16. February 2026,Swissmedic,Guidance,Description of document protection Version 8.0 aligns the guidance with the revised list of variations (Annex 7 TPLRO).,https://www.linkedin.com/feed/update/urn:li:activity:7426505168098858625/
16. February 2026,Swissmedic,Guidance,Import of a human medicinal product according to Art.,https://www.linkedin.com/feed/update/urn:li:activity:7426505164666241024/
16. February 2026,Swissmedic,Guidance,Authorisation in accordance with Art.,https://www.linkedin.com/feed/update/urn:li:activity:7426505166478090240/







