Date,Agency,Category,Title,Link
20. July 2026,ANVISA,Tool,ANVISA provides new tool for consulting health alerts,https://www.linkedin.com/feed/update/urn:li:activity:7480162069388967937/
20. July 2026,ANVISA,Announcement,ANVISA The new compendia of the Brazilian Pharmacopoeia come into force,https://www.linkedin.com/feed/update/urn:li:activity:7480163787782729728/
20. July 2026,Department of Health and Social Care,Guidance,Safeguarding UK human genomic data,https://www.linkedin.com/feed/update/urn:li:activity:7480123464545189888/
20. July 2026,Department of Health and Social Care,Policy,"NICE - National Institute for Health and Care Excellence FSA,MHRA and NICE Economic Growth Goals",https://www.linkedin.com/feed/update/urn:li:activity:7480842504452509696/
20. July 2026,Egyptian Drug Authority,Announcement,Adoption of the National Drug Policy with a Comprehensive National Consensus to Enhance Drug Security and Improve Regulatory Maturity,https://www.linkedin.com/feed/update/urn:li:activity:7480123543075229696/
20. July 2026,European Data Protection Board,Guidance,Guidelines 02/2026 on Anonymisation (Version 1.0),https://www.linkedin.com/feed/update/urn:li:activity:7480850396765327361/
20. July 2026,European Data Protection Board,Guidance,Guidelines 03/2026 on Web Scraping in the Context of Generative AI (Version 1.0),https://www.linkedin.com/feed/update/urn:li:activity:7480854414535139328/
20. July 2026,European Data Protection Board,Guidance,Guidelines 02/2025 on Processing of Personal Data through Blockchain Technologies (Version 2.0),https://www.linkedin.com/feed/update/urn:li:activity:7480856191057764352/
20. July 2026,European Data Protection Supervisor,Checklist,Checklist on Human Intervention on Automated Decision-Making (ADM),https://www.linkedin.com/feed/update/urn:li:activity:7480123526914592768/
20. July 2026,European Union Agency for Cybersecurity (ENISA),Report,European Union Agency for Cybersecurity (ENISA)s view on Cybersecurity in the Frontier AI Era This new ENISA position paper (July 2026) sets out recommendations to address cybersecurity risks arising from frontier AI.,https://www.linkedin.com/feed/update/urn:li:activity:7480470726962139138/
20. July 2026,European Directorate for the Quality of Medicines & HealthCare (EDQM),Report,Certification Monthly Report End of June 2026,https://www.linkedin.com/feed/update/urn:li:activity:7480485319558184960/
20. July 2026,European Directorate for the Quality of Medicines & HealthCare (EDQM),Position Paper,Medical Devices Regulation and Its Implications for the Substances of Human Origin Sector,https://www.linkedin.com/feed/update/urn:li:activity:7480841712307834880/
20. July 2026,European Medicines Agency,List,CECP Opinions Issued by the EMA Expert Panels for Medical Devices Undergoing Conformity Assessment,https://www.linkedin.com/feed/update/urn:li:activity:7480151584107208704/
20. July 2026,European Medicines Agency,Presentation,SPOR & XEVMPD Status Update Recent & Planned Changes and Impacts to Users,https://www.linkedin.com/feed/update/urn:li:activity:7481237580617965582/
20. July 2026,Medical Device Authority,Guidance,Introduction of the Automated Re-Registration Route in MeDC@St 2.0+ for Streamlined Market Access and Continuous Supply of Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7480160120426057728/
20. July 2026,MedTech Europe,Declaration,"Joint Declaration for a Bold FP10: Investing in Research,Development and Innovation to Boost European Productivity and Competitiveness",https://www.linkedin.com/feed/update/urn:li:activity:7480480394396602369/
20. July 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7480148117560995841/
20. July 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical trials for medicines: ending a clinical trial,https://www.linkedin.com/feed/update/urn:li:activity:7480150232878718976/
20. July 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical trials for medicines: roles and responsibilities,https://www.linkedin.com/feed/update/urn:li:activity:7480485829593829376/
20. July 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Packaging texts for veterinary medicinal products,
20. July 2026,Swissmedic,Forms,Swissmedic Forms for July 2026
20. July 2026,Swissmedic,Guidance,"MEP (Information Sheet,Identification no. BW617_00_003,Version 5.0,Valid from 01.07.2026)",https://www.linkedin.com/feed/update/urn:li:activity:7480123470815727616/
20. July 2026,Swissmedic,Guidance,Notifications devitalised human tissue,https://www.linkedin.com/feed/update/urn:li:activity:7480123494698147840/
20. July 2026,Swissmedic,Guidance,FAQ Device Notifications,https://www.linkedin.com/feed/update/urn:li:activity:7480123488167600130/
20. July 2026,Swissmedic,Guidance,FAQ on In Vitro Diagnostic Medical Device Notifications,https://www.linkedin.com/feed/update/urn:li:activity:7480123503703277569/
20. July 2026,Swissmedic,Guidance,"Out-of-Stock Situation (Merkblatt MU102_20_001,Version 4.0,)",https://www.linkedin.com/feed/update/urn:li:activity:7480123492231852032/
20. July 2026,Swissmedic,Guidance,Archive access,https://www.linkedin.com/feed/update/urn:li:activity:7480123506211422208/
20. July 2026,Swissmedic,Guidance,Simplified Information Requirements on the Form for Manufacturer Information for the Reduced Dossier,https://www.linkedin.com/feed/update/urn:li:activity:7480123438842683392/
20. July 2026,Swissmedic,Guidance,Clinical investigations of medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7480123448413847552/
20. July 2026,Swissmedic,Guidance,Performance studies of IVD,https://www.linkedin.com/feed/update/urn:li:activity:7480123504835665920/
20. July 2026,Swissmedic,Guidance,Instructions on User Management for  Portal Roles in the eIAM Portal,https://www.linkedin.com/feed/update/urn:li:activity:7480123542420795392/
20. July 2026,Swissmedic,Guidance,"Handbook: swissdamed User Guide UDI Devices Module (BW630_40_841),Version 4.0",https://www.linkedin.com/feed/update/urn:li:activity:7480482161800753152/
20. July 2026,Therapeutic Goods Administration,Training,Take Control of Your Learning Journey and Understand Your Regulatory Obligations,
20. July 2026,USA Food & Drug Administration FDA,Training,FDA & IQ MPS Training Course,https://www.linkedin.com/feed/update/urn:li:activity:7480470744418816000/
20. July 2026,USA Food & Drug Administration FDA,Guidance,FDA SOPP 8217: Administrative Processing and Review Management Procedures for Investigational New Drug Applications (Version 7) Version 7 (effective 2 July 2026),https://www.linkedin.com/feed/update/urn:li:activity:7480470758138351616/
