Date,Agency,Category,Information,
22. December 2025,Egyptian Drug Authority,Guidance,Guideline for Good Regulatory Oversight of Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7406960494500290561?
22. December 2025,European Union Agency for Cybersecurity (ENISA),Report,Voices of EU Cybersecurity Certification ENISA Report 2025,https://www.linkedin.com/feed/update/urn:li:activity:7406591802583166976?
22. December 2025,European Commission,Consultation,procedural requirements for Notified Body conformity assessment activities,https://www.linkedin.com/feed/update/urn:li:activity:7406231344504127488?
22. December 2025,European Commission,Event,9th Biosimilar Multistakeholder Event (4th December 2025),https://www.linkedin.com/feed/update/urn:li:activity:7406579144202797056?
22. December 2025,European Commission,Guidance,MDCG 2025-9 - Guidance on Breakthrough Devices (BtX),https://www.linkedin.com/feed/update/urn:li:activity:7406577236549455872?
22. December 2025,European Commission,Regulation,"Better rules for medical devices, better outcomes for EU patients",https://www.linkedin.com/feed/update/urn:li:activity:7406939133656387584?
22. December 2025,European Commission,Position Paper,"MDCG 2025-7 Rev. 1 Master UDI-DI to contact lenses, spectacle frames, spectacle lenses",https://www.linkedin.com/feed/update/urn:li:activity:7407299023566426115?
22. December 2025,European Directorate for the Quality of Medicines & HealthCare,Booklet,Add-ons in medically assisted reproduction treatments,https://www.linkedin.com/feed/update/urn:li:activity:7406557604757524480?
22. December 2025,European Medicines Agency,Meeting,Committee for Medicinal Products for Human Use (CHMP) 8-11 December 2025,https://www.linkedin.com/feed/update/urn:li:activity:7405919925661384704?
22. December 2025,European Medicines Agency,Meeting,EMA Industry Platform Operation of EU Pharmacovigilance Legislation,https://www.linkedin.com/feed/update/urn:li:activity:7407802633618599936?
22. December 2025,European Medicines Agency,Guidance,Questions and answers on the Union list of critical medicines,https://www.linkedin.com/feed/update/urn:li:activity:7406211442909282304?
22. December 2025,European Medicines Agency,Guidance,EMA Guideline on Stability Testing for Variations to a Marketing Authorisation,https://www.linkedin.com/feed/update/urn:li:activity:7406203865102106624?
22. December 2025,European Medicines Agency,Guidance,Draft User Manual XEVMPD User Interface (XEVMPDweb),https://www.linkedin.com/feed/update/urn:li:activity:7406203895854546945?
22. December 2025,European Medicines Agency,Guidance,ICH E22 General Considerations for Patient Preference Studies (PPS),https://www.linkedin.com/feed/update/urn:li:activity:7406203881078149120?
22. December 2025,Health Canada,Guidance,Terms and conditions (T&Cs) for human and veterinary drugs,https://www.linkedin.com/feed/update/urn:li:activity:7406950403336142848?
22. December 2025,International Council for Harmonisation,Recommendation,Output from the ICH Cell & Gene Therapy Discussion Group (CGTDG),https://www.linkedin.com/feed/update/urn:li:activity:7406579914293792768?
22. December 2025,Medicines and Healthcare products Regulatory Agency,Guidance,"In Vitro Diagnostics Medical Device Roadmap MHRA (UK), Version 1.0",https://www.linkedin.com/feed/update/urn:li:activity:7406593601721233408?
22. December 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Medical devices: UK approved bodies,https://www.linkedin.com/feed/update/urn:li:activity:7406595585103011840?
22. December 2025,MedTech Europe,Statement,Revision proposal towards fixing European Medical Devices & Diagnostics rules,https://www.linkedin.com/feed/update/urn:li:activity:7406942793375391744?
22. December 2025,Swissmedic,Forms,Swissmedic Forms for December 2025,
