Date,Agency,Category,Title,Link
28. September 2026,ANVISA,Guidance,SNCR: Anvisa publishes new manuals and expands guidelines for different audiences,https://www.linkedin.com/feed/update/urn:li:activity:7508757514453217280/
28. September 2026,Egyptian Drug Authority,Notice,"Public Dissemination of Clinical Trials Scientific and Regulatory Data by Egyptian Drug Authority (EDREX.NP.Bioinn.014, Version 4.0/2026)",https://www.linkedin.com/feed/update/urn:li:activity:7508385477310291968/
28. September 2026,Egyptian Drug Authority,Guidance,"Guidelines on Veterinary Pharmaceuticals Variations (EDREX:GL.CAPP.037, Version 2/2026)",https://www.linkedin.com/feed/update/urn:li:activity:7508383724217049088/
28. September 2026,European Commission,CECP,Expert decision and opinion in the context of the Clinical Evaluation Consultation Procedure (CECP),https://www.linkedin.com/feed/update/urn:li:activity:7508765789278199809/
28. September 2026,European Commission,Regulation,Implementing Regulation (EU) 2026/2083 of 18 September 2026 on MyHealth@EU,https://www.linkedin.com/feed/update/urn:li:activity:7508050680318832642/
28. September 2026,European Data Protection Board,Guidance,EDPB harmonises fining methodology and adopts final DSA-GDPR guidelines,https://www.linkedin.com/feed/update/urn:li:activity:7508042813884850178/
28. September 2026,European Directorate for the Quality of Medicines & HealthCare (EDQM),Guidance,Revised EU OCABR guidelines for avian and bovine tuberculin purified protein derivatives reduce animal use in quality control testing,https://www.linkedin.com/feed/update/urn:li:activity:7508063331933569025/
28. September 2026,European Medicines Agency,Guidance,"Substances considered as not falling within the scope of Regulation (EC) No. 470/2009, with regard to residues of veterinary medicinal products in foodstuffs of animal origin",https://www.linkedin.com/feed/update/urn:li:activity:7508770755841814528/
28. September 2026,European Medicines Agency,List,CECP opinions issued for medical devices awaiting finalisation of conformity assessment,https://www.linkedin.com/feed/update/urn:li:activity:7508767964918104064/
28. September 2026,European Medicines Agency,Guidance,ICH M13B Guideline and Q&A: Additional Strengths Biowaiver for Immediate-Release Solid Oral Dosage Forms,https://www.linkedin.com/feed/update/urn:li:activity:7508056395934650370/
28. September 2026,European Medicines Agency,Report,Report on the International Active Pharmaceutical Ingredient Inspection Programme 2017-2024,https://www.linkedin.com/feed/update/urn:li:activity:7508052761071091712/
28. September 2026,European Medicines Agency,Meeting,Committee for Medicinal Products for Human Use (CHMP) 14-17 September 2026,https://www.linkedin.com/feed/update/urn:li:activity:7507665088984809473/
28. September 2026,European Union Agency for Cybersecurity (ENISA),Report,Threat Landscape 2026,https://www.linkedin.com/feed/update/urn:li:activity:7508404949752512512/
28. September 2026,European Union Agency for Cybersecurity (ENISA),Consultation,Technical Advisory on AI-assisted software development,https://www.linkedin.com/feed/update/urn:li:activity:7507665348415066112/
28. September 2026,International Council for Harmonisation (ICH),Guidance,Revised Q&As for ICH E14 and ICH S7B provide updated implementation support,https://www.linkedin.com/feed/update/urn:li:activity:7507665146215870464/
28. September 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical trials for medicines: Good clinical practice inspections,https://www.linkedin.com/feed/update/urn:li:activity:7508390227460268032/
28. September 2026,Medicines and Healthcare products Regulatory Agency,Survey,Beyond ADMET: AI for medicines safety - survey,https://www.linkedin.com/feed/update/urn:li:activity:7508389945724575744/
28. September 2026,Medicines and Healthcare products Regulatory Agency,Guidance,National assessment procedure for medicines,https://www.linkedin.com/feed/update/urn:li:activity:7507665336695996417/
28. September 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Pre-submission Advice & Support for Innovative Medicines,https://www.linkedin.com/feed/update/urn:li:activity:7507665186246467584/
28. September 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines: apply for a variation to your marketing authorisation,https://www.linkedin.com/feed/update/urn:li:activity:7507665151316279296/
28. September 2026,MedTech Europe,Statement,MedTech Europe's reaction to the President of the European Commission's State of the Union Address,https://lnkd.in/p/erKXfk-D
28. September 2026,NMPA-National Medical Products Administration,Plan,Work Plan for Optimizing Review and Approval Procedures for Supplementary Applications for Traditional Chinese Medicine,https://www.linkedin.com/feed/update/urn:li:activity:7508048248046026752/
28. September 2026,NMPA-National Medical Products Administration,Guidance,Issuing the Guidelines for Inspection of Good Manufacturing Practice in Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7508045805619093504/
28. September 2026,South African Health Products Regulatory Authority,Communication,"Regulatory Requirements for Importation of Unregistered or Listed Medical Devices for Exhibition, Appraisal, Demonstration, or Training",https://www.linkedin.com/feed/update/urn:li:activity:7507665295595995136/
28. September 2026,Swissmedic,Forms,Swissmedic Forms for September 2026,
28. September 2026,Swissmedic,Guidance,Portal Communication,https://www.linkedin.com/feed/update/urn:li:activity:7509248712750022657/
28. September 2026,Swissmedic,Guidance,"SMC Portal login, access and basic navigation",https://www.linkedin.com/feed/update/urn:li:activity:7509246805927399424/
28. September 2026,Swissmedic,Guidance,SMC Portal profile menu,https://www.linkedin.com/feed/update/urn:li:activity:7509244872306884608/
28. September 2026,Swissmedic,Guidance,"Notifications according to Article 41, MPLO - Technical Interpretation",https://www.linkedin.com/feed/update/urn:li:activity:7508759906997547008/
28. September 2026,Swissmedic,Guidance,"FSCA Economic Operators (MU680_21_010, Version 3.3)",https://www.linkedin.com/feed/update/urn:li:activity:7508381977302142976/
28. September 2026,Swissmedic,Guidance,"Products without an intended medical purpose (MU600_00_007, Version 1.5)",https://www.linkedin.com/feed/update/urn:li:activity:7508380128582754305/
28. September 2026,Therapeutic Goods Administration,Guidance,Understanding fees and charges for prescription medicine applications,https://www.linkedin.com/feed/update/urn:li:activity:7508762633056202753/
28. September 2026,USA Food & Drug Administration FDA,Post,Robotically-Assisted Surgical Devices - Premarket Submissions,https://www.linkedin.com/feed/update/urn:li:activity:7509241895944912897/
28. September 2026,USA Food & Drug Administration FDA,Database,New Approach Methodologies (NAMs) Database of Use Case Examples,https://www.linkedin.com/feed/update/urn:li:activity:7508390084061097984/
28. September 2026,World Health Organization,News,WHO announces expansion of prequalification programme for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7509239630500720640/
