Date,Agency,Category,Title,Link
8. June 2026,ANVISA,Announcement,ANVISA SNCR: Anvisa Begins Integration Stage with Electronic Prescription Systems and Extends Implementation Deadline,https://www.linkedin.com/feed/update/urn:li:activity:7468226207185088512/
8. June 2026,Central Drugs Standard Control Organization,Circular,Implementation of Pharmacovigilance (PV) System under Schedule M,https://www.linkedin.com/feed/update/urn:li:activity:7468213679336071168/
8. June 2026,Egyptian Drug Authority,Post,Regulatory Guideline for Mechanisms and Rules of Implementing Egyptian Drug Authority Chairman Decree no. 343/2021,https://www.linkedin.com/feed/update/urn:li:activity:7467823725699190785/
8. June 2026,European Medicines Agency,Concept Paper,"Concept Paper on the Development of a Reflection Paper on the Use of External Controls for Evidence Generation in Regulatory Decision-Making In May 2026, CHMP adopted this concept paper.",https://www.linkedin.com/feed/update/urn:li:activity:7468219204261879808/
8. June 2026,European Union Agency for Cybersecurity (ENISA),Post,Technical Competence Requirements for CRA Notified Bodies ENISA issued Version 1.0 (June 2026),https://www.linkedin.com/feed/update/urn:li:activity:7468557976723857408/
8. June 2026,Health Products Regulatory Authority (HPRA),Post,Guide to New Applications and Variations to Wholesale Distribution Authorisations.,https://www.linkedin.com/feed/update/urn:li:activity:7467831768205725697/
8. June 2026,Health Products Regulatory Authority (HPRA),Post,Application for products to be considered for inclusion in Schedule 1 of the Misuse of Drugs (Prescription and Control of Supply of Cannabis for Medical Use) Regulations 2019.,https://www.linkedin.com/feed/update/urn:li:activity:7467830886663892992/
8. June 2026,International Council for Harmonisation,Guidance,(ICH) E6(R3) Good Clinical Practice (GCP) Annex 2,https://www.linkedin.com/feed/update/urn:li:activity:7468724647098908672/
8. June 2026,ISO - International Organization for Standardization,Post,"Update May 1. to June 1. 2026 MedTech, IVD, Pharma, Biotechnology, Digital Health & Informatics",https://www.linkedin.com/feed/update/urn:li:activity:7468534398049611776/
8. June 2026,Medical Device Authority Malaysia,Announcement,MDA Strengthens Safety Monitoring of Medical Devices in the Market,https://www.linkedin.com/feed/update/urn:li:activity:7468211324573859840/
8. June 2026,MedTech Europe,Framework,MedTech Europe An Improved Regulatory Framework: What Do Europes Diagnostics Need?,https://www.linkedin.com/feed/update/urn:li:activity:7468162202634469379/
8. June 2026,MedTech Europe,Factsheet,Cardiovascular Sector Group Position on an EU Council Recommendation on Health Checks for Cardiovascular Diseases,https://www.linkedin.com/feed/update/urn:li:activity:7468197730192957440/
8. June 2026,MedTech Europe,Position Paper,Cardiovascular Sector Group Position on an EU Council Recommendation on Health Checks for Cardiovascular Diseases,https://www.linkedin.com/feed/update/urn:li:activity:7468197415557398528/
8. June 2026,NMPA-National Medical Products Administration,Guidance,Medical Device Classification Catalogue Dynamic Adjustment Procedure,https://www.linkedin.com/feed/update/urn:li:activity:7468203371716362240/
8. June 2026,Swissmedic,Post,Swissmedic Forms for June 2026,
8. June 2026,Swissmedic,Post,Swissmedic swissdamed Business Rules,https://www.linkedin.com/feed/update/urn:li:activity:7467829502543462401/
8. June 2026,Swissmedic,Guidance,Swissmedic List of all countries with comparable control of human medicinal products,https://www.linkedin.com/feed/update/urn:li:activity:7467444058383155200/
8. June 2026,Swissmedic,Guidance,Swissmedic Packaging for human medicinal products Version 8.0 became effective on 01.06.2026.,https://www.linkedin.com/feed/update/urn:li:activity:7467446547199295488/
8. June 2026,Swissmedic,Guidance,Swissmedic Orphan Drug,https://www.linkedin.com/feed/update/urn:li:activity:7467448273100939264/
8. June 2026,Swissmedic,Guidance,Swissmedic Project Orbis,https://www.linkedin.com/feed/update/urn:li:activity:7467450327420608512/
8. June 2026,Swissmedic,Guidance,Swissmedic Leitfaden fur die Qualitatssicherung in der Transfusionspraxis (Ausgabe 2026),https://www.linkedin.com/feed/update/urn:li:activity:7467452564574339072/
8. June 2026,Team-NB,Position Paper,"MDR Certification Process (including Pre-application, Application and Post Application phases) Consensus Document Version 2 (June 2026)",https://www.linkedin.com/feed/update/urn:li:activity:7468556169125543937/
8. June 2026,Therapeutic Goods Administration,Guidance,"Annual Charge Waiver Guidelines How to Apply for an Annual Charge Waiver Updated on 3 June 2026, provides guidance on obtaining a waiver of annual charges.",https://www.linkedin.com/feed/update/urn:li:activity:7468216654804602880/
8. June 2026,USA Food & Drug Administration FDA,Guidance,FDA Certain Postapproval Requirements and Resources for ANDAs,https://www.linkedin.com/feed/update/urn:li:activity:7468553491599273984/
8. June 2026,USA Food & Drug Administration FDA,Guidance,FDA Intent to Exempt Certain Unclassified Medical Devices from Premarket Notification Requirements,https://www.linkedin.com/feed/update/urn:li:activity:7468560366445240321/
8. June 2026,USA Food & Drug Administration FDA,Update,"FDA eSTAR Program Update June 1, 2026",https://www.linkedin.com/feed/update/urn:li:activity:7467827943092879360/
8. June 2026,USA Food & Drug Administration FDA,Guidance,FDA M15 General Principles for Model-Informed Drug Development,https://www.linkedin.com/feed/update/urn:li:activity:7467825119697174529/
8. June 2026,USA Food & Drug Administration FDA,Guidance,"FDA Drug and Device Manufacturer Communications With Payors, Formulary Committees, and Similar Entities Questions and Answers",https://www.linkedin.com/feed/update/urn:li:activity:7467824659397316608/
8. June 2026,USA Food & Drug Administration FDA,Guidance,FDA Leveraging Prior Knowledge in the Development of Human Gene Therapy Products Incorporating Genome Editing,https://www.linkedin.com/feed/update/urn:li:activity:7467825877360361473/
8. June 2026,USA Food & Drug Administration FDA,Guidance,FDA Oncology Pharmaceuticals: Streamlined Nonclinical Safety Studies for Biologics and Conjugated Products,https://www.linkedin.com/feed/update/urn:li:activity:7467096830485565441/
