Date,Agency,Category,Title,Link
18. October 2025,European Commission,Guidance,EUDAMED Release Notes, Production v2.18.0,https://www.linkedin.com/feed/update/urn:li:activity:7385265788674269184?
18. October 2025,Sean Smith,Webinar,"How to Raise $5m to $100m in MedTech: What Investors Look For Before They Write the Check",https://www.linkedin.com/feed/update/urn:li:activity:7385193848697966592?
18. October 2025,ARNAB RAY Indian Pharmacopoeia Commission,Guidance,"Testing of DEG and EG in Oral Liquids, IPC/GD/11",https://www.linkedin.com/feed/update/urn:li:activity:7385246105694920704?
18. October 2025,ARNAB RAY,Post,Can a Diabetes Drug Slow Alzheimer’s?,https://www.linkedin.com/feed/update/urn:li:activity:7385245787590606848?
17. October 2025,Swissmedic,Guidance,eGov-Portal - eSubmissions Service,https://www.linkedin.com/feed/update/urn:li:activity:7384860389521502209?
17. October 2025,Swissmedic,Guidance,eGov-Portal - Safety Communication Service,https://www.linkedin.com/feed/update/urn:li:activity:7384862447842562048?
17. October 2025,ISO (International Organization for Standardization),Standards,"ISO Update September 1, 2025 to October 1, 2025",https://www.linkedin.com/feed/update/urn:li:activity:7384826879993716736?
17. October 2025,Medicines and Healthcare products Regulatory Agency,Report,AI Airlock Sandbox Pilot Programme Report,https://www.linkedin.com/feed/update/urn:li:activity:7384838301406625792?
17. October 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Apply for a Variation to Your Marketing Authorisation,https://www.linkedin.com/feed/update/urn:li:activity:7384834689506713600?
17. October 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Variations to marketing authorisations (MAs) ,https://www.linkedin.com/feed/update/urn:li:activity:7384831248042717184?
17. October 2025,European Medicines Agency,Guidance,Product Management Service (PMS) - ISO IDMP Implementation,https://www.linkedin.com/feed/update/urn:li:activity:7384873422826139648?
17. October 2025,European Medicines Agency,Guidance,Product Management Service (PMS) - User Acceptance Testing (UAT),https://www.linkedin.com/feed/update/urn:li:activity:7384878534630211584?
17. October 2025,European Medicines Agency,Guidance,Product Management Service (PMS) - Frequently Asked Questions,https://www.linkedin.com/feed/update/urn:li:activity:7384883372449488896?
17. October 2025,European Medicines Agency,Guidance,Process for the Electronic Submission of Medicinal Product Information,https://www.linkedin.com/feed/update/urn:li:activity:7384886000952561664?
17. October 2025,USA Food & Drug Administration FDA,Guidance,Guidance Snapshot for Guidance Conducting Clinical Trials with Decentralized Elements,https://www.linkedin.com/feed/update/urn:li:activity:7384825980009480192?
17. October 2025,Matthew Wictome,Post,"Download free resources including: The CAPA Paradox and The Change Dilemma - practical frameworks to make change faster, smarter, and still be audit-ready.",https://www.linkedin.com/feed/update/urn:li:activity:7384996663003889665?
17. October 2025,Beat Keller,Post,Is your medical device secretly a machine?,https://www.linkedin.com/feed/update/urn:li:activity:7384990152030584832?
17. October 2025,Rabiea,Flipbook,A Day in the Life of a Regulatory Affairs Professional,https://www.linkedin.com/feed/update/urn:li:activity:7384925146807025664?
17. October 2025,Akanksha Jain,Poll,What drives a successful database lock in your experience?,https://www.linkedin.com/feed/update/urn:li:activity:7384785237358235648?
17. October 2025,Joby Semmler LSC Group,Post,FDA Validation Testing & Clinical Process for EUA (Emergency Use Authorization),https://www.linkedin.com/feed/update/urn:li:activity:7384780776866893825?
17. October 2025,Dr C. Sheela Sasikumar,Video,Distinguishing Terms in Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7384776250344538113?
17. October 2025,Sean Smith,Course,5-Day Email Crash Course + Masterclass Combo: Initiating Pre-Market Clinical Investigations in the EU,https://www.linkedin.com/feed/update/urn:li:activity:7384656215789875201?
16. October 2025,European Medicines Agency,Guidance,Frequently asked questions about parallel distribution,https://www.linkedin.com/feed/update/urn:li:activity:7384469594410782721?
16. October 2025,Danny Van Roijen,Consultation,"Cyber Resilience Act - Terms and conditions for delaying the notification of incidents, The European Commission has launched a public consultation on the draft delegated act covering the terms and conditions for delaying the notification of incidents, as defined in Article 16(2) of the Cyber Resilience Act.",https://www.linkedin.com/feed/update/urn:li:activity:7384632089947832320?
16. October 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Understanding regulatory requirements for in vitro diagnostic (IVD) companion diagnostics (CDx),https://www.linkedin.com/feed/update/urn:li:activity:7384460837463379970?
16. October 2025,Medical Device Authority Malaysia,Amendment,Medical Device (Amendment) Regulations 2025,https://www.linkedin.com/feed/update/urn:li:activity:7384508341605126144?
16. October 2025,Medical Device Authority Malaysia,Consultation,Requirements for Labelling of Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7384510923509534721?
16. October 2025,Medical Device Authority Malaysia,Guidance,Conformity Assessment Body (CAB) Guide for Conducting Conformity Assessment by way of Verification,https://www.linkedin.com/feed/update/urn:li:activity:7384513701288202240?
16. October 2025,Medical Device Authority Malaysia,Consultation,Application for Confirmation Status of Obsolete and Discontinued Medical Device,https://www.linkedin.com/feed/update/urn:li:activity:7384518954570137601?
16. October 2025,Medical Device Authority Malaysia,Consultation,Application for Confirmation Status of Orphaned Medical Device,https://www.linkedin.com/feed/update/urn:li:activity:7384524627563405313?
16. October 2025,Brian Newbery,Flipbook,Tips for Full Management Commitment and Engagement in a QMS,https://www.linkedin.com/feed/update/urn:li:activity:7384537608808226816? 
16. October 2025,BARBARA PIROLA,GMP REFRESH,"Anticipate, Adapt, Act: The New QRM Mindset—Two Years In Quality Risk Management ICHQ9(R1)",https://www.linkedin.com/feed/update/urn:li:activity:7384312123914629120?
16. October 2025,BARBARA PIROLA,GXP INSIGHTS,The Power of Applying ICH Q14 & Q12 in Pharmaceutical QC,https://www.linkedin.com/feed/update/urn:li:activity:7384453468607987712?
16. October 2025,Akanksha Jain,Post,Decoding Study Document Audits: Turning TMF Findings into Quality Insights.,https://www.linkedin.com/feed/update/urn:li:activity:7384422844610310145?
16. October 2025,Dr C. Sheela Sasikumar,Poll,Which type of study design gives the strongest level of evidence?,https://www.linkedin.com/feed/update/urn:li:activity:7384427362467155968?
16. October 2025,Matthew Wictome,Post,Change in regulated industries doesn’t have to be scary,https://www.linkedin.com/feed/update/urn:li:activity:7384279445919932417?
15. October 2025,ANVISA Brazil,Guidance,"RDC nº 894, de 27 de agosto de 2024 - Boas Práticas de Cosmetovigilância",https://www.linkedin.com/feed/update/urn:li:activity:7384181209318182912?
15. October 2025,USA Food & Drug Administration FDA,Guidance,Technical Specifications for Submitting Clinical Trial Data Sets for Response Assessments for Treatments of Acute Leukemias,https://www.linkedin.com/feed/update/urn:li:activity:7384115010794434560?
15. October 2025,Dipo Ajose-Coker,Webinar,Struggling with scattered Word files and PDF submissions?,https://www.linkedin.com/feed/update/urn:li:activity:7384167674685259776?
15. October 2025,Sandra Balseiro,Newsletter,Smart MDR Newsletter - 19th Edition,https://www.linkedin.com/feed/update/urn:li:activity:7384182710749138944?
15. October 2025,Tasha Mohseni,Post,Partial Scholarship Deadline: BEI Online Winter 2025 School Applications,https://www.linkedin.com/feed/update/urn:li:activity:7384205949982617601?
15. October 2025,Scilife,Webinar,The future of Regulatory Intelligence: transforming compliance with automation and AI,https://www.linkedin.com/feed/update/urn:li:activity:7384217246492950528?
15. October 2025,Sean Smith,Post,The TEAM-PRRC Annual Summit is officially sold out,https://www.linkedin.com/feed/update/urn:li:activity:7384231374649454593?
15. October 2025,Maria E. Donawa,Article,Clarifying MDR Terminology:The Problematic Definition of ‘Similar Device’,https://www.linkedin.com/feed/update/urn:li:activity:7384237835488350209?
15. October 2025,Brian Newbery,Flipbook,Increase in QMS Risk Management Requirements under the FDA QMSR,https://www.linkedin.com/feed/update/urn:li:activity:7384163736879771648?
15. October 2025,Iwona Sylwia Gryglewicz,Webinar,Computerised Systems Validation Playbook,https://www.linkedin.com/feed/update/urn:li:activity:7384132777757036544?
15. October 2025,Laisa D. Feliciano [CAPA Made Easy],Newsletter,When Your Documents Stay Silent,https://www.linkedin.com/feed/update/urn:li:activity:7384155878653898752?
15. October 2025,Dante Gonzalez Vanderhaghen,Post,What happens when quality stops being a formality and becomes a culture?,https://www.linkedin.com/feed/update/urn:li:activity:7383937401213284353?
15. October 2025,LSC Group,Post,Latest FDA medical device validation news from the partners at LSC Group,https://www.linkedin.com/feed/update/urn:li:activity:7384002452716572672?
15. October 2025,Dr C. Sheela Sasikumar,Poll,Which of the following qualifies as a Serious Adverse Event (SAE)?,https://www.linkedin.com/feed/update/urn:li:activity:7384057382227824640?
15. October 2025,BARBARA PIROLA,EDQM Newsroom,Regulatory Reliance & Fast-Track CEP Assessment,https://www.linkedin.com/feed/update/urn:li:activity:7384078715305070592?
15. October 2025,BARBARA PIROLA,REGULATORY UPDATE, MHRA Clinical Trials – Modifying a Clinical Trial Approval,https://www.linkedin.com/feed/update/urn:li:activity:7384078175447797760?
