Date,Agency,Category,Title,Link
17. December 2025,USA Food & Drug Administration FDA,Guidance,"ANDA Submissions—Amendments and Requests for Final Approval to Tentatively Approved ANDAs (FDA CDER Guidance for Industry)",https://www.linkedin.com/feed/update/urn:li:activity:7406955084577742848?
17. December 2025,USA Food & Drug Administration FDA,Guidance,"Study Data Technical Conformance Guide (SDTCG) (FDA)",https://www.linkedin.com/feed/update/urn:li:activity:7406953336123371520?
17. December 2025,Health Canada,Guidance,"Draft guidance on Terms & Conditions (T&Cs) for human and veterinary drugs",https://www.linkedin.com/feed/update/urn:li:activity:7406950403336142848?
17. December 2025,"Therapeutic Goods Administration, Australia",Guidance,"Understanding listed and registered complementary medicine regulation",https://www.linkedin.com/feed/update/urn:li:activity:7406947378466996224?
17. December 2025,"Therapeutic Goods Administration, Australia",Guidance,"Understanding rules for boundary and combination products (Therapeutic Goods Administration, Australia)",https://www.linkedin.com/feed/update/urn:li:activity:7406945335627005952?
17. December 2025,MedTech Europe,Post,"European Commission’s revision of the Medical Devices Regulation (MDR) and In Vitro Diagnostic Regulation (IVDR) marks a key milestone",https://www.linkedin.com/feed/update/urn:li:activity:7406942793375391744?
17. December 2025,European Commission,Proposal,"European Commission proposal for a regulation to simplify rules on medical and in vitro diagnostic devices",https://www.linkedin.com/feed/update/urn:li:activity:7406939133656387584?
17. December 2025,Mario Gabrielli Cossellu,Post,"Simpler and more effective rules for medical devices – Commission proposal for a targeted revision of the medical devices regulations",https://www.linkedin.com/feed/update/urn:li:activity:7406817150012649472?
17. December 2025,Mitali Metha,Post,"I have not filed a dossier yet. But I am learning what it takes to do it right.",https://www.linkedin.com/feed/update/urn:li:activity:7406943054915342340?
17. December 2025,MedTech Leading Voice,Webinar,"MDR/IVDR in Transition: Expert Insights on Regulatory Changes and Compliance Strategies",https://www.linkedin.com/feed/update/urn:li:activity:7406951585307643904?
17. December 2025,BARBARA PIROLA,Post,"European Biotech Act published (Proposal for a Regulation to strengthen the EU biotechnology and biomanufacturing sectors)",https://www.linkedin.com/feed/update/urn:li:activity:7406918136039440384?
17. December 2025,Joby Semmler,Post,"Planning an IDE submission? Discover how FDA experts complete device info, study design & IRB approval.",https://www.linkedin.com/feed/update/urn:li:activity:7406914750573498368?
17. December 2025,Sara Rosario,Newsletter,"Summary of Novel Food developments in Europe for November 2025",https://www.linkedin.com/feed/update/urn:li:activity:7406778150405173248?
16. December 2025,Barbara Pirola,Guidance,Strategic Compliance Training on MHRA Guidance for Specials Manufacturers and EU GMP Annex 1,https://www.linkedin.com/feed/update/urn:li:activity:7406713377864982529?
16. December 2025,Hadi Danawi,Post,Global Giving Initiative to Empower MENASA Voices in Research and Drug Safety Evidence,https://www.linkedin.com/feed/update/urn:li:activity:7406703081272492033?
16. December 2025,Ramesh M.,Post,ISO 15223-1:2021 Amendment 1:2025 Updates on Authorized Representative Symbols,https://www.linkedin.com/feed/update/urn:li:activity:7406702374188347392?
16. December 2025,Hadi Danawi,Post,Daily Pharma and Clinical Trials News Updates – Key Global Regulatory and Clinical Developments,https://www.linkedin.com/feed/update/urn:li:activity:7406699286589104128?
16. December 2025,Brian Newbery,Flipbook,QMSR Transition Planning and the Role of ISO 13485 Certification for Medical Device Companies,https://www.linkedin.com/feed/update/urn:li:activity:7406645563842248704?
16. December 2025,Sandra Balseiro,Newsletter,Smart MDR Newsletter 23rd Edition on MDR and IVDR Compliance Risks and Regulatory Updates,https://www.linkedin.com/feed/update/urn:li:activity:7406642776999686145?
16. December 2025,Swissmedic,Guidance,eIAM Portal Administrator – Delegated Administration for Swissmedic eGov Services,https://www.linkedin.com/feed/update/urn:li:activity:7406604792845783040?
16. December 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Medical devices: UK approved bodies (updated – includes 2026 BSI scope versions),https://www.linkedin.com/feed/update/urn:li:activity:7406595585103011840?
