Date,Agency,Category,Title,Link
1. January 2026,MedTech Leading Voice,The Year That Was 2025,
1. January 2026,BARBARA PIROLA,Post,End-of-year series: GxP Pills #2: The QC Perspective,https://www.linkedin.com/feed/update/urn:li:activity:7412190591276535808?
1. January 2026,Hadi Danawi,Inforaphic,Happy New Year,https://www.linkedin.com/feed/update/urn:li:activity:7412176271121559553?
1. January 2026,Tasha Mohseni,Post,Happy New Year-I also wanted to share a few updates,https://www.linkedin.com/feed/update/urn:li:activity:7412125903713103872?



































