Date,Agency,Category,Title,Link
6. January 2026,European Directorate for the Quality of Medicines & HealthCare,Post,Pharmeuropa 38.1 released: 34 new/revised Ph. Eur. texts for public consultation (comments open until 31 March 2026),https://www.linkedin.com/feed/update/urn:li:activity:7414185645746704384?
6. January 2026,Central Drugs Standard Control Organization,Guidance,Risk Classification List of Medical Devices Pertaining to Oncology,https://www.linkedin.com/feed/update/urn:li:activity:7414191402575634432?
6. January 2026,Department of Health HKSAR Government,Guidance,Guidance Notes updated: Listing of Importers of Medical Devices (GN-07),https://www.linkedin.com/feed/update/urn:li:activity:7414198205657174016?
6. January 2026,Department of Health HKSAR Government,Guidance,Guidance Notes updated: Listing of Local Manufacturers (GN-08),https://www.linkedin.com/feed/update/urn:li:activity:7414198205657174016?
6. January 2026,Department of Health HKSAR Government,Guidance,Guidance Notes updated: Listing of Distributors (GN-09),https://www.linkedin.com/feed/update/urn:li:activity:7414198205657174016?
6. January 2026,Mitali Metha,Post,"The Technical Reality of eCTD: structure, PDF standards, publishing tools, and the move from documents to data impact",https://www.linkedin.com/feed/update/urn:li:activity:7414191435488600064?
6. January 2026,BARBARA PIROLA,Post,USP Alert: 〈797〉 Pharmaceutical Compounding—Sterile Preparations to be official on 01-Feb-2026,https://www.linkedin.com/feed/update/urn:li:activity:7414161743129739264?
6. January 2026,Akanksha Jain,Post,Things That Magically Improve Right Before an Audit,https://www.linkedin.com/feed/update/urn:li:activity:7414138687816450048?
6. January 2026,Joby Semmler,Post,LSC Group: Click to read the latest Biotech news from partners at LSC Group,https://www.linkedin.com/feed/update/urn:li:activity:7414102719759822848?
6. January 2026,Lucia Paula Ferreira Albanez,Post,Brazil is not just a market: regulatory feasibility defines market entry viability (ANVISA/Ministry of Agriculture),https://www.linkedin.com/feed/update/urn:li:activity:7414055688773181441?
6. January 2026,Lucia Paula Ferreira Albanez,Post,"Entering the Brazilian market with medical technology: registration strategy, risk assessment, and regulatory sequencing under Anvisa rules",https://www.linkedin.com/feed/update/urn:li:activity:7414048111578300416?
6. January 2026,Martin King,Video,Audience Engagement: The Interview,https://www.linkedin.com/feed/update/urn:li:activity:7414286367557468160?
6. January 2026,Jose Bohorquez,Post,Encryption basics for medical device software (symmetric vs asymmetric; FDA security objectives),https://www.linkedin.com/feed/update/urn:li:activity:7414356261661478912?
6. January 2026,Gretchen Lubbe,Post,Stop trying to "fix" your life. Start improving it.,https://www.linkedin.com/feed/update/urn:li:activity:7414351444784472064?
6. January 2026,Galyna Cordero,Post,Online seminar: GVP Master File (PSMF) — structure, management, role, mistakes & challenges (29–30 Jan 2026),https://www.linkedin.com/feed/update/urn:li:activity:7414336670352904192?
6. January 2026,Maurice Rouillard,Flipbook,Current trends of pharmacies in France & EU: challenges & repercussions on pharma & medical device sectors,https://www.linkedin.com/feed/update/urn:li:activity:7414302561454682112?
6. January 2026,BARBARA PIROLA,Post,Daily Pill of Compliance: Solving the “Micro-Blackout” in Food, Pharma, and Chemical Lines (RF),https://www.linkedin.com/feed/update/urn:li:activity:7414298003269885953?
6. January 2026,Raechelle Salgatar,Download,QP Salary Trends 2026 (UK) — snapshot resource,https://www.linkedin.com/feed/update/urn:li:activity:7414295810701492225?
6. January 2026,Rabiea,Post,Don’t make this mistake in your job interview,https://www.linkedin.com/feed/update/urn:li:activity:7414277180437762048?
6. January 2026,Brian Newbery,Post,QMSR transition: key steps + QMSR Gap Analysis Checklist (effective date Feb 2),https://www.linkedin.com/feed/update/urn:li:activity:7414256783625711616?
6. January 2026,MedTech Leading Voice,Webinar,Real-Life PMCF: Practical Lessons, NB Insights, and 2026 Priorities (event Jan 28, 2026),https://www.linkedin.com/feed/update/urn:li:activity:7414238890330619904?
6. January 2026,Nataliya Nedkova,Post,ISO certification isn’t the hard part — preparing for it is (ISO-driven workflows),https://www.linkedin.com/feed/update/urn:li:activity:7414237698443427840?
6. January 2026,Fabio Fiorella,Post,Pharmeuropa 38.1 open for public consultation (deadline 31 March 2026),https://www.linkedin.com/feed/update/urn:li:activity:7414223832468746240?
5. January 2026,Hadi Danawi,Post,"Happy Monday—January 5, 2026: daily Pharma/clinical trials news updates (MENASA Group)",https://www.linkedin.com/feed/update/urn:li:activity:7414014069810106368?
 5. January 2026,MedTech Leading Voice,Newsletter,Clinical Data Under MDR — Proposed Changes and 2026 Implications,https://www.linkedin.com/feed/update/urn:li:activity:7413827636441001984?
 5. January 2026,Marina Daineko,News,Monday News Issue #2,https://www.linkedin.com/feed/update/urn:li:activity:7413869376786808832?
 5. January 2026,BARBARA PIROLA,Post,"Quantum Convergence 2026-Navigating the Intersection of Deep Tech, AI, and Life Sciences",https://www.linkedin.com/feed/update/urn:li:activity:7413844303048867840?
 5. January 2026,Juliana Hechanova,Handbook,GDP compliance shouldn’t feel like guesswork,https://www.linkedin.com/feed/update/urn:li:activity:7413839049196478464?
 5. January 2026,MedTech Leading Voice,Flipbook,Regulatory Roundup Dashboard Flipbook The Year Ahead 2026,https://www.linkedin.com/feed/update/urn:li:activity:7413836708284284928?
 5. January 2026,Mitali Metha,Post,"The goal is simple: help someone like my grandmother catch a problem early, not scare them with false alarms.",https://www.linkedin.com/feed/update/urn:li:activity:7413829256222400512?
 5. January 2026,Rany Attalla,Post,Key principles of an effective QC lab investigation:,https://www.linkedin.com/feed/update/urn:li:activity:7413740952546291712?
 5. January 2026,Leonard (Leo) Eisner,Post,The December FDA Standards Update: What Matters After the Headline List,https://www.linkedin.com/feed/update/urn:li:activity:7413690970925449216?
 5. January 2026,nazanin sakhaei,Post,The Art of Negotiation and Flexibility in Regulatory Affairs,https://www.linkedin.com/feed/update/urn:li:activity:7413960738484051968?
 5. January 2026,BARBARA PIROLA,Post,Pharmeuropa 38.1 Is Now Live – GMP Update and Public Consultation,https://www.linkedin.com/feed/update/urn:li:activity:7413953957934350336?
