Date,Agency,Category,Information,Link
25. August 2025,Egyptian Drug Authority,Guidance,Regulatory Guide for Import and Export of Medical Device Samples,https://www.linkedin.com/feed/update/urn:li:activity:7363462212226551808?
25. August 2025,Egyptian Drug Authority,Guidance,Unified Registration File Submission System under Registration (CTD),https://www.linkedin.com/feed/update/urn:li:activity:7364193895074697216?
25. August 2025,European Commission,Guidance,MDR - Language requirements for manufacturers - Rev. 3 (August 2025),https://www.linkedin.com/feed/update/urn:li:activity:7363798029109215232?
25. August 2025,European Medicines Agency,Consultation,ICH Q3E Draft Guideline Extractables & Leachables,https://www.linkedin.com/feed/update/urn:li:activity:7365300178410549248?
25. August 2025,European Medicines Agency,Template,Annex IV PSUR Template,https://www.linkedin.com/feed/update/urn:li:activity:7363509175592660995?
25. August 2025,Health Canada,Guidance,Classification of topical products,https://www.linkedin.com/feed/update/urn:li:activity:7363467284796915713?
25. August 2025,Health Canada,Guidance,The eSTAR pilot: Notice to industry,https://www.linkedin.com/feed/update/urn:li:activity:7363815183544164352?
25. August 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Route B substantial modification pilot,https://www.linkedin.com/feed/update/urn:li:activity:7363507027081416708?
25. August 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical trials for medicines: apply for authorisation in the UK,https://www.linkedin.com/feed/update/urn:li:activity:7364706262321700864?
25. August 2025,National Institutes of Health,Report,Tenets of Gold Standard Science,https://www.linkedin.com/feed/update/urn:li:activity:7364697077404028930?
25. August 2025,South African Health Products Regulatory Authority,Guidance,Regulatory Requirements of (AI/ML) Enabled Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7363807522312364032?
25. August 2025,Swissmedic,Form,Swissmedic Forms for August 2025,
25. August 2025,Swissmedic,Guidance,Mobile technologies (Version 1.3) Effective from 15 August 2025,https://www.linkedin.com/feed/update/urn:li:activity:7363085804530716672?
25. August 2025,Swissmedic,Guidance,Guidance on the Submission Process for Clinical Trials with Medicinal Products,https://www.linkedin.com/feed/update/urn:li:activity:7363810857249587200?
25. August 2025,Swissmedic,Paper,Decentralised clinical trials (DCTs) with medicinal products in Switzerland,https://www.linkedin.com/feed/update/urn:li:activity:7363444648834412544?
25. August 2025,Swissmedic,Paper,Parenterals without an intended medical purpose: Enforcement at product level,https://www.linkedin.com/feed/update/urn:li:activity:7363984490710417410?
25. August 2025,Swissmedic,Swissdamed,New in swissdamed: Medical device registration now available,https://www.linkedin.com/feed/update/urn:li:activity:7363459716326318080?
25. August 2025,Swissmedic,Report,Medical Devices Swissmedic Hospital Inspections 2024,https://www.linkedin.com/feed/update/urn:li:activity:7364189561758830616?
25. August 2025,Swissmedic,Consultation,ICH Guideline Q3E Guideline for Extractables and Leachables,https://www.linkedin.com/feed/update/urn:li:activity:7365300178410549248?
25. August 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Understanding regulation of software-based medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7363471331016720384?
25. August 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Meeting 3D printing (additive manufacturing) rules for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7363802248063139840?
25. August 2025,USA Food & Drug Administration FDA,Guidance,Predetermined Change Control Plan for AI-Enabled Device Software Functions,https://www.linkedin.com/feed/update/urn:li:activity:7364636657981034497?
25. August 2025,USA Food & Drug Administration FDA,Guidance,Approaches to Assessment of Overall Survival in Oncology Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7363512805230030850?
25. August 2025,USA Food & Drug Administration FDA,Guidance,Oncology Therapeutic Radiopharmaceuticals: Dosage Optimization,https://www.linkedin.com/feed/update/urn:li:activity:7363513285800869888?
25. August 2025,USA Food & Drug Administration FDA,Guidance,Animal Studies for Dental Bone Grafting Material Devices - (510(k)) Submissions,https://www.linkedin.com/feed/update/urn:li:activity:7364611071753478144?
25. August 2025,Medicines Control Authority of Zimbabwe (MCAZ),Invitation,Guidelines For Implementing Traceability For Medical Products In Zimbabwe,https://www.linkedin.com/feed/update/urn:li:activity:7364252003587223553?
