Date,Agency,Category,Title,Link
2. January 2026,Swissmedic,Guidance,Swissmedic Temporary Authorisation of Veterinary Medicinal Products,https://www.linkedin.com/feed/update/urn:li:activity:7412794789449977856?
2. January 2026,Swissmedic,Guidance,Swissmedic Medicinal Product Name,https://www.linkedin.com/feed/update/urn:li:activity:7412793144699932672?
2. January 2026,Swissmedic,Guidance,Swissmedic Packaging Texts for Veterinary Medicinal Products,https://www.linkedin.com/feed/update/urn:li:activity:7412790596102299648?
2. January 2026,Swissmedic,Guidance,Swissmedic Product Information for Veterinary Medicinal Products,https://www.linkedin.com/feed/update/urn:li:activity:7412787923151921152?
2. January 2026,Egyptian Drug Authority,Guidance,Service Recipient Notification - Procedures for Circulation of Medical Devices in Pharmaceutical Dosage Form,https://www.linkedin.com/feed/update/urn:li:activity:7412786063188045824?
2. January 2026,Egyptian Drug Authority,Guidance,Guideline for the Rules and Procedures of Re-registration of Human Medicinal Products,https://www.linkedin.com/feed/update/urn:li:activity:7412783293080911872?
2. January 2026,Department of Health Hong Kong Special Administration,Guidance,GN-01: Overview of the Medical Device Administrative Control System (MDACS),https://www.linkedin.com/feed/update/urn:li:activity:7412780172703080448?
2. January 2026,Department of Health Hong Kong Special Administration,Guidance,GN-00: Definitions and Abbreviations for the Medical Device Administrative Control System (MDACS),https://www.linkedin.com/feed/update/urn:li:activity:7412777998157914112?
2. January 2026,NMPA-National Medical Products Administration,Regulations,Regulations on the Management of Export Sales Certificates of Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7412774297863168000?
2. January 2026,International Accreditation Forum Inc,Post,We are pleased to announce the official launch of Global Accreditation Cooperation Incorporated,https://www.linkedin.com/feed/update/urn:li:activity:7412734401404407808?




































