Date,Agency,Category,Information,Link
22. September 2025,Central Drugs Standard Control Organization,Guidance,ICMR-CDSCO Standard Performance Evaluation Protocols,https://www.linkedin.com/feed/update/urn:li:activity:7374316539652616192?
22. September 2025,Central Drugs Standard Control Organization,Circular,Provision for Subsequent Importer in CDSCO Online System for Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7374323386090680320?
22. September 2025,Egyptian Drug Authority,Plan,Strategic Plan of the Egyptian Drug Authority (2025-2027),https://www.linkedin.com/feed/update/urn:li:activity:7373999589483520000?
22. September 2025,European Commission,Guidance,DRAFT MDCG 2025-X 2 Q&A on Trend Reporting MDR / IVDR,https://www.linkedin.com/feed/update/urn:li:activity:7374407602786713600?
22. September 2025,European Commission,Form,Manufacturer's Trend Report Form (MTR),https://www.linkedin.com/feed/update/urn:li:activity:7374410621594783744?
22. September 2025,European Medicines Agency,Guidance,Questions and Answers on Implementing Regulation (EU) 2025/1466,https://www.linkedin.com/feed/update/urn:li:activity:7374325891205603328?
22. September 2025,European Medicines Agency,Guidance,EU Implementation Guide (Vet EU IG) on veterinary medicines product data,https://www.linkedin.com/feed/update/urn:li:activity:7374329531844968448?
22. September 2025,European Medicines Agency,Template,Letter of intent for the submission of a worksharing procedure,https://www.linkedin.com/feed/update/urn:li:activity:7374331790024404992?
22. September 2025,European Medicines Agency,Meeting,Committee for Medicinal Products for Human Use (CHMP) 15-18 September 2025,https://lnkd.in/p/eK_VtyRq
22. September 2025,European Union Agency for Cybersecurity (ENISA),Guidance,Cyber Hygiene in the Health Sector,https://lnkd.in/p/eTRuDajV
22. September 2025,"Health Products Regulatory Authority (HPRA), Ireland",Report,Annual Report 2024,https://lnkd.in/p/exFX_Tjk
22. September 2025,International Council for Harmonisation,Guidance,ICH E11A EWG Training Material - Pediatric Extrapolation â€“ Case Example,https://lnkd.in/p/edrSsh_4
22. September 2025,International Council for Harmonisation,Guidance,ICH Q3E Presentation Draft Guideline & Supporting Class 3 Leachables,https://lnkd.in/p/eHu64F8J
22. September 2025,Medical Device Authority Malaysia,Guidance,(CAB) Guide for Conducting Conformity Assessment by way of Verification,https://www.linkedin.com/feed/update/urn:li:activity:7372921104132186112?
22. September 2025,Medical Device Authority Malaysia,Guidance,Medical Device Registration Submission in Medc@st Conformity Assessment,https://www.linkedin.com/feed/update/urn:li:activity:7372925454015438848?
22. September 2025,Medicines and Healthcare products Regulatory Agency,Guidance,International Recognition Procedure,https://www.linkedin.com/feed/update/urn:li:activity:7374340053814108161?
22. September 2025,National Institute of Standards and Technology (NIST),Guidance,Recommendations for Key-Encapsulation Mechanisms,https://lnkd.in/p/e3jwFftb
22. September 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Printing & Distributing Guidelines for Self-inspection & Verification,https://www.linkedin.com/feed/update/urn:li:activity:7373978922285428736?
22. September 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Standard,Terminology of Medical Devices Using Brain-Computer Interface Technology,https://www.linkedin.com/feed/update/urn:li:activity:7373982319348555776?
22. September 2025,Swissmedic,Forms,Swissmedic Forms for September 2025,
22. September 2025,Swissmedic,Guidance,eDok,https://www.linkedin.com/feed/update/urn:li:activity:7372916471393308672?
22. September 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Essential Principles checklist,https://www.linkedin.com/feed/update/urn:li:activity:7373228217551233024?
22. September 2025,USA Food & Drug Administration FDA,Guidance,Symptomatic Nonerosive Gastroesophageal Reflux Disease,https://www.linkedin.com/feed/update/urn:li:activity:7373777756666617856?
22. September 2025,USA Food & Drug Administration FDA,Guidance,Erosive Esophagitis,https://www.linkedin.com/feed/update/urn:li:activity:7373777209356103680?
22. September 2025,USA Food & Drug Administration FDA,Guidance,Disseminated Coccidioidomycosis,https://www.linkedin.com/feed/update/urn:li:activity:7373776608748265472?
22. September 2025,USA Food & Drug Administration FDA,Guidance,Safety Labeling Changes - Implementation of Section 505(o)(4) of FD&C Act,https://lnkd.in/p/eYHkXzUa
22. September 2025,USA Food & Drug Administration FDA,Factsheet,What Breastfeeding Women Should Know About Clinical Lactation Studies,https://lnkd.in/p/e4ZZuY_P
