Date,Agency,Category,Information,Link
15. August 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Digital Scribes,https://www.linkedin.com/feed/update/urn:li:activity:7362037141603819520?
15. August 2025,European Commission,Regulation,"Commission Implementing Regulation (EU) 2025/1466 of 22 July 2025 amending Implementing Regulation (EU) No 520/2012 on the performance of pharmacovigilance activities",https://www.linkedin.com/feed/update/urn:li:activity:7362025532437188610?
15. August 2025,USA Food & Drug Administration FDA,News,PreCheck Program to Boost U.S. Drug Manufacturing,https://www.linkedin.com/feed/update/urn:li:activity:7362019828334829568?
15. August 2025,European Directorate for the Quality of Medicines & HealthCare,Report,The collection, supply and use of blood and blood components in Europe,https://www.linkedin.com/feed/update/urn:li:activity:7362015371328950272?
15. August 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,"eCTD AU Module 1 and Regional Information v3.2",https://www.linkedin.com/feed/update/urn:li:activity:7361986999836102656?
14. August 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Digital Scribes,https://www.linkedin.com/feed/update/urn:li:activity:7361806210708168704?
14. August 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Cancel a medicine's marketing authorisation or other licence,https://www.linkedin.com/feed/update/urn:li:activity:7361794457626714112?
14. August 2025,National Institute of Standards and Technology (NIST),Standard,Ascon-Based Lightweight Cryptography Standards for Constrained Devices: Authenticated Encryption,https://www.linkedin.com/feed/update/urn:li:activity:7361786992625369090?
14. August 2025,ChandraKumar R Pillai,LinkedIn Article,"Why GPT-5’s 'One Model to Rule Them All' Failed in Just a Week",https://www.linkedin.com/feed/update/urn:li:activity:7361780206413488129?
14. August 2025,BARBARA PIROLA,Guidance,"The WHO AWaRe (Access, Watch, Reserve) antibiotic book",https://www.linkedin.com/feed/update/urn:li:activity:7361769818850557953?
14. August 2025,Brian Newbery,Post,Guide to required QMS Documentation to Meet ISO 13485 and QMSR,https://www.linkedin.com/feed/update/urn:li:activity:7361685322549645314?
14. August 2025,BARBARA PIROLA,Guidance,TGA Guidance Understanding the Regulation of Therapeutic Sunscreens,https://www.linkedin.com/feed/update/urn:li:activity:7361641089402834944?
14. August 2025,Pat Bhatt and Sharmila Bhatt Lexim AI,LinkedIn Article,AI as a Force Multiplier for Regulatory Consulting Firms,https://www.linkedin.com/feed/update/urn:li:activity:7361557018400247808?
14. August 2025,MedTech Leading Voice,Webinar,Spotlight on Enhancing Risk Management Throughout the Product Lifecycle,https://www.linkedin.com/feed/update/urn:li:activity:7361492866071687168?
13. August 2025,MedTech Leading Voice,Portrait,A unique opportunity to get to know Annmarie Nicolson,https://www.linkedin.com/feed/update/urn:li:activity:7361430097045725184?
13. August 2025,Health Products Regulatory Authority (HPRA),Form,Cosmetics RAPEX Reaction Report,https://www.linkedin.com/feed/update/urn:li:activity:7361408195073822720?
13. August 2025,Health Products Regulatory Authority (HPRA),Form,Manufacturing summary sheet form,https://www.linkedin.com/feed/update/urn:li:activity:7361405297451507712?
13. August 2025,Central Drugs Standard Control Organization,Consultation,"Standard Performance Evaluation Protocols Influenza virus, SARS-CoV-2, Respiratory Syncytial Virus In-Vitro Diagnostics",https://www.linkedin.com/feed/update/urn:li:activity:7361395467026321409?
13. August 2025,BARBARA PIROLA,Whitepaper,"FDA's Office of Pharmaceutical Quality (OPQ) Quality Management Initiatives in the Pharmaceutical Industry: An Economic Perspective",https://www.linkedin.com/feed/update/urn:li:activity:7361279938517229568?
13. August 2025,Dr.Aakanksha Achanta,Whitepaper,The Impact of AI on Regulatory Affairs in the Global Pharmaceutical Industry,https://www.linkedin.com/posts/dr-aakanksha-achanta-936187140_the-impact-of-ai-on-ra-in-the-global-pharmaceutical-activity-7361111792292450308-AAaJ?
13. August 2025,Akanksha Jain,Post,Why Robust SOPs are Non-Negotiable in Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7361230024684855296? 
13. August 2025,BARBARA PIROLA,Guidance,"EMA JUST PUBLISHED Guideline on Good Agricultural and Collection Practice (GACP) for starting materials of herbal origin Final – Revision 1 and Overview of comments received",https://www.linkedin.com/feed/update/urn:li:activity:7361105342824423424? 
13. August 2025,Brian Newbery,Post,"3 tips for an effective QMS CAPA process",https://www.linkedin.com/feed/update/urn:li:activity:7361330858571542528?
12. August 2025,Sandra Balseiro,Post,"Regulatory Transition in the EU, The Historic Surge in Applications and Certificates under MDR & IVDR",https://www.linkedin.com/feed/update/urn:li:activity:7360959096205828096?
12. August 2025,USA Food & Drug Administration FDA,Newsletter,"The latest edition of the FDA Oncology Center of Excellence PULSE newsletter has been published, delivering essential updates for oncology professionals and stakeholders.",https://www.linkedin.com/feed/update/urn:li:activity:7360766942636376065?
12. August 2025,"Therapeutic Goods Administration (TGA), Australia",Consultation,"Joint stakeholders consultation on the revision of Chapter 4 on Documentation, Annex 11 on Computerised Systems and on the new Annex 22 on Artificial Intelligence of the PIC/S and EU GMP Guides",https://www.linkedin.com/feed/update/urn:li:activity:7360898634499956736?
12. August 2025,Medicines and Healthcare products Regulatory Agency,Consultation,Revised International Council for Harmonisation Guideline M4Q(R2),https://www.linkedin.com/feed/update/urn:li:activity:7360916697563758592?
12. August 2025,Swissmedic,Guidance,Authorisation of radiopharmaceuticals,https://www.linkedin.com/feed/update/urn:li:activity:7360901638057795586?
12. August 2025,Egyptian Drug Authority,Guidance,"Required Documents for Cosmetic Product Variations   Issue 1, Code EDREX:GL.CAPP.041, effective 07/08/2025.",https://www.linkedin.com/feed/update/urn:li:activity:7360906178555461632?
12. August 2025,European Medicines Agency,Guidance,EMA Write PMS API implementation Guide,https://www.linkedin.com/feed/update/urn:li:activity:7360910518007566336?
12. August 2025,BARBARA PIROLA,Guidance,USP UPDATE ?41? To be Official on 01-Feb-2026,https://www.linkedin.com/feed/update/urn:li:activity:7360919995305848832?
  11. August 2025,"Dr C. Sheela Sasikumar",Post,"In MedTech, mixing up Verification and Validation can cost both time and resources",https://www.linkedin.com/feed/update/urn:li:activity:7360705055089479681?
  11. August 2025,BARBARA PIROLA,Post,"Microbiological OOS & OOT: A QA Professional’s Strategic Lens",https://www.linkedin.com/feed/update/urn:li:activity:7360663486139371520? 
  11. August 2025,BARBARA PIROLA,Guidance,"NIST SPECIAL PUBLICATION 1800-44A Secure Software Development,Security, and Operations (DevSecOps)",https://www.linkedin.com/feed/update/urn:li:activity:7360663486139371520?
  11. August 2025,Marina Daineko,News,Monday News,https://www.linkedin.com/feed/update/urn:li:activity:7360600378658148352?
  11. August 2025,Medicines and Healthcare products Regulatory Agency,Guidance,MHRA phase I accreditation scheme,https://www.linkedin.com/feed/update/urn:li:activity:7360550549152272385?
  11. August 2025,Swissmedic,Guidance,"Information sheet: Systems and procedure packs",https://www.linkedin.com/feed/update/urn:li:activity:7360552628868509696?
  11. August 2025,Swissmedic,Guidance,Implementation in Switzerland of EU Commission Implementing Regulation on instructions for use in electronic form,https://www.linkedin.com/feed/update/urn:li:activity:7360553029667852288?
  11. August 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,"TGA instructions for disinfectant testing Version 4.0",https://www.linkedin.com/feed/update/urn:li:activity:7360542774451920896?
  11. August 2025,Akanksha Jain,Post,Top 5 Document Pitfalls to Acoid during an ISO 13485 Audit,https://www.linkedin.com/feed/update/urn:li:activity:7360505283942461440?
11. August 2025,ANVISA Brazil,Publication,Safety and Performance of Postmarketing Breast Implants,https://www.linkedin.com/feed/update/urn:li:activity:7358373333781909504?
11. August 2025,ANVISA Brazil,Regulation,Portaria CMED Nº 3/2025 and Associated Inactivation List,https://www.linkedin.com/feed/update/urn:li:activity:7359122200437714944?
11. August 2025,ANVISA Brazil,Guidance,Way of counting the validity of the Certificate of Good Practices,https://www.linkedin.com/feed/update/urn:li:activity:7359125061347307520?
11. August 2025,Central Drugs Standard Control Organization,Regulation,Market Standing Certificate (MSC) & Non-Conviction Certificate (NCC),https://www.linkedin.com/feed/update/urn:li:activity:7358369599869886464?
11. August 2025,Egyptian Drug Authority,Guidance,Mechanism for Manufacturing Sites change for Pharmaceutical Products,https://www.linkedin.com/feed/update/urn:li:activity:7358374395523788800?
11. August 2025,Egyptian Drug Authority,Consultation,Mechanisms & rules for registering biological & innovative pharmaceuticals,https://www.linkedin.com/feed/update/urn:li:activity:7359091620027293696?
11. August 2025,European Commission,Consultation,European Biotech Act public consultation,https://www.linkedin.com/feed/update/urn:li:activity:7358346014673498112? 
11. August 2025,Publications Office of the European Union,Report,Study on the Deployment of AI in Healthcare Final Report,https://www.linkedin.com/feed/update/urn:li:activity:7358430897542422528?
11. August 2025,European Directorate for the Quality of Medicines & HealthCare,Newsletter,EDQM Reference Standards Monthly Newsletter,https://www.linkedin.com/feed/update/urn:li:activity:7358376906108334082?
11. August 2025,European Directorate for the Quality of Medicines & HealthCare,Report,Certification monthly report of activities: End of July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7359097240423952384?
11. August 2025,European Medicines Agency,Report,Use of Titanium Dioxide as Excipient in Medicines and Identification of Alternatives,https://www.linkedin.com/feed/update/urn:li:activity:7359125072730611712?
11. August 2025,European Medicines Agency,Paper,Clinical investigation of medicines for the treatment of Alzheimer's disease,https://www.linkedin.com/feed/update/urn:li:activity:7359118214707974144?
11. August 2025,European Medicines Agency,Guidance,Procedural advice on paediatric applications,https://www.linkedin.com/feed/update/urn:li:activity:7359902873310109696?
11. August 2025,European Medicines Agency,Guidance,(PMS) Chapter 2: Data Elements for the Electronic Submission (Version 2.4),https://www.linkedin.com/feed/update/urn:li:activity:7359906924340862978?
11. August 2025,Health Canada,Guidance,Guidance on Nitrosamine Impurities in Medications,https://www.linkedin.com/feed/update/urn:li:activity:7358375560722407424?
11. August 2025,ISO (International Organization for Standardization),Standards,ISO Update July 1. 2025 to  August 1. 2025,https://www.linkedin.com/feed/update/urn:li:activity:7358372351689801729?
11. August 2025,International Pharmaceutical Excipients Council Federation(IPEC),Guidance,Risk Assessment Guide for Pharmaceutical Excipients,https://www.linkedin.com/feed/update/urn:li:activity:7358874749097127936?
11. August 2025,International Council for Harmonisation,Guidance,ICH Q3E Draft Guideline & Supporting Class 3 Leachable Monographs,https://www.linkedin.com/feed/update/urn:li:activity:7359235630532284416?
11. August 2025,Medicines and Healthcare products Regulatory Agency,Template,Decentralised Manufacturing Master File template,https://www.linkedin.com/feed/update/urn:li:activity:7358013894793043968?
11. August 2025,MedTech Europe,Report,Sampling under IVDR: MedTech Europe proposal for a more risk-based approach,https://www.linkedin.com/feed/update/urn:li:activity:7357998747630411776?
11. August 2025,Ministry of Food and Drug Safety of Republic of Korea,Meeting,APEC Health Cooperation Ensuring Health for All,https://www.linkedin.com/feed/update/urn:li:activity:7359107554234265602?
11. August 2025,South African Health Products Regulatory Authority,Guidance,SAHPRA Engagement Portal Launch Update,https://www.linkedin.com/feed/update/urn:li:activity:7359110192627691521?
11. August 2025,USA Food & Drug Administration FDA,Guidance,PFAS in Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7359470283071623168?
11. August 2025,USA Food & Drug Administration FDA,Report,The annual Report on the State of Pharmaceutical Quality,https://www.linkedin.com/feed/update/urn:li:activity:7359908968183332864?
11. August 2025,World Health Organisation WHO,List,List of WHO Listed Authorities WLAs,https://www.linkedin.com/feed/update/urn:li:activity:7359467025028501504?
10. August 2025,Fabio Fiorella,Post,New Commission staff working document on the use of titanium dioxide in medicinal products,https://www.linkedin.com/feed/update/urn:li:activity:7360399818311004161?
10. August 2025,MedTech Leading Voice,Newsletter,"EU’s New GPAI Rules Are Live: What MedTech Teams Need to Know (Now)",https://www.linkedin.com/feed/update/urn:li:activity:7360533511851704320?
10. August 2025,MedTech Leading Voice,Video,The QA/RA Week That Was 10. August 2025,https://www.linkedin.com/feed/update/urn:li:activity:7360263656804077568?
9. August 2025,USA Food & Drug Administration FDA,Report,Report on the State of Pharmaceutical Quality,https://www.linkedin.com/feed/update/urn:li:activity:7359908968183332864?
9. August 2025,European Medicines Agency,Guidance,Product Management Service (PMS) - Chapter 2: Data elements for the electronic submission of information on medicinal products for human use,https://www.linkedin.com/feed/update/urn:li:activity:7359906924340862978?
9. August 2025,European Medicines Agency,Guidance,Procedural advice on paediatric applications,https://www.linkedin.com/feed/update/urn:li:activity:7359902873310109696?
8. August 2025,MedTech Leading Voice,Audit Tool,Meet Your AI-Powered Lead Auditor for ISO 13485:2016 QMS,https://www.linkedin.com/feed/update/urn:li:activity:7359595473520758784?
8. August 2025,MedTech Leading Voice,Video,Preview Regulatory Roundup Monday 11. August 2025,https://www.linkedin.com/feed/update/urn:li:activity:7359538926736285696?
8. August 2025,BARBARA PIROLA,Post,New Post-Market Surveillance (PMS) regulations go live in Great Britain,https://www.linkedin.com/feed/update/urn:li:activity:7359457567783235584?
8. August 2025,COBALT RESEARCH BV,Video,"CTD vs. eCTD: What’s the Difference and Why It Matters?",https://www.linkedin.com/feed/update/urn:li:activity:7359471621440516096?
8. August 2025,USA Food & Drug Administration FDA,Guidance,PFAS in Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7359470283071623168?
8. August 2025,World Health Organisation WHO,Guidance,WHO-Listed Authorities (WLAs),https://www.linkedin.com/feed/update/urn:li:activity:7359467025028501504?
7. August 2025,International Council for Harmonisation,Guidance,ICH Q3E Draft Guideline Extractables & Leachables,https://www.linkedin.com/feed/update/urn:li:activity:7359235630532284416?
7. August 2025,Brian Newbery,Guidance,"Summary Guide & Best Practice for Your ISO 13485:2016  Quality Management System",https://www.linkedin.com/feed/update/urn:li:activity:7359145315775537153?
7. August 2025,"Dr C. Sheela Sasikumar",Post,"In the MedTech realm, Quality Assurance and Quality Control are often used interchangeably",https://www.linkedin.com/posts/dr-c-sheela-sasikumar-92989a54_qa-qc-medtech-activity-7355479689597014019-yohC?
7. August 2025,Egyptian Drug Authority,Consultation,"Publishing the draft regulatory guide for the rules for implementing the decision of the Chairman of the Egyptian Drug Authority No. (343) of 2021 of 2025 (Public Consultation)",https://www.linkedin.com/feed/update/urn:li:activity:7359091620027293696?
7. August 2025,European Directorate for the Quality of Medicines & HealthCare,Report,Certification monthly report of activities: End of July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7359097240423952384?
7. August 2025,Ministry of Food and Drug Safety of Republic of Korea,Meeting,APEC Health Cooperation Ensuring Health for All,https://www.linkedin.com/feed/update/urn:li:activity:7359107554234265602?
7. August 2025,South African Health Products Regulatory Authority,Guidance,SAHPRA Engagement Portal-Launch Update,https://www.linkedin.com/feed/update/urn:li:activity:7359110192627691521?
7. August 2025,European Medicines Agency,Feedback,"Feedback from European Medicine Agency (EMA) to the EU Commission request to evaluate the feasibility of alternatives to replace titanium dioxide (TiO2) in medicinal products and its possible impact on medicines’ availability",https://www.linkedin.com/feed/update/urn:li:activity:7359114632088682497?
7. August 2025,European Medicines Agency,Paper,Concept paper on the need for revision of the guideline on the clinical investigation of medicines for the treatment of Alzheimer's disease,https://www.linkedin.com/feed/update/urn:li:activity:7359118214707974144?
7. August 2025,ANVISA Brazil,Regulation,Portaria CMED No 3/2025 and Associated Inactivation List,https://www.linkedin.com/feed/update/urn:li:activity:7359122200437714944?
7. August 2025,ANVISA Brazil,Guidance,Anvisa changes the way of counting the validity of the Certificate of Good Practices,https://www.linkedin.com/feed/update/urn:li:activity:7359125061347307520?
7. August 2025,BARBARA PIROLA,Feedback,New insights from the European Medicines Agency on the future of titanium dioxide (TiO2) in medicines,https://www.linkedin.com/feed/update/urn:li:activity:7359125072730611712?
6. August 2025,BARBARA PIROLA,Guidance,Risk Assessment Guide for Pharmaceutical Excipients,https://www.linkedin.com/feed/update/urn:li:activity:7358874749097127936?
6. August 2025,Publications Office of the European Union,Report,Study on the Deployment of AI in Healthcare â€“ Final Report,https://www.linkedin.com/feed/update/urn:li:activity:7358430897542422528?
6. August 2025,MedTech Leading Voice,OpenAI GPT,OpenAI GPT to Assist witn Writing User Needs,https://www.linkedin.com/feed/update/urn:li:activity:7358877960440848385?
5. August 2025,Richard Houlihan,Video,EUDAMED Search Here is a fast explanation,https://www.linkedin.com/feed/update/urn:li:activity:7358430897542422528?
5. August 2025,BARBARA PIROLA,Meeting,"EMA : Highlights of the 13th Industry Standing Group (ISG)",https://www.linkedin.com/feed/update/urn:li:activity:7358477811004637186?
5. August 2025,European Directorate for the Quality of Medicines & HealthCare,Newsletter,EDQM Reference Standards Monthly Newsletter July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7358376906108334082?
5. August 2025,Health Canada,Guidance,Guidance on Nitrosamine Impurities in Medications ,https://www.linkedin.com/feed/update/urn:li:activity:7358375560722407424?
5. August 2025,Egyptian Drug Authority,Guidance,Update on the Mechanism for Adding/Transferring Manufacturing Sites for Registered Human and Veterinary Pharmaceutical Products,https://www.linkedin.com/feed/update/urn:li:activity:7358374395523788800?
5. August 2025,Brazil,Publication,Safety and Performance of Postmarketing Breast Implants: An Integrated Review with Technovigilance Data,https://www.linkedin.com/feed/update/urn:li:activity:7358373333781909504?
5. August 2025,ISO (International Organization for Standardization),Standards,ISO Update July 1. 2025 to August 1. 2025,https://www.linkedin.com/feed/update/urn:li:activity:7358372351689801729?
