Date,Agency,Category,Title,Link
 30. June 2025,MedTech Leading Voice,Roundup,Regulatory Roundup 30. June 2025,https://www.linkedin.com/feed/update/urn:li:activity:7345405781271359488?
 30. June 2025,Team-NB,Position Paper,Code of Conduct for Notified Bodies under Regulations (EU) 2017/745 and (EU) 2017/746,https://www.linkedin.com/feed/update/urn:li:activity:7345371736739078146?
 30. June 2025,Team-NB,Position Paper,Software classification under the IVDR V2,https://www.linkedin.com/feed/update/urn:li:activity:7345329303665930240? 
 30. June 2025,MedTech Leading Voice,Newsletter,EU AI Act,https://www.linkedin.com/feed/update/urn:li:activity:7345306735047262208?
 30. June 2025,European Commission,Guidance,EUDAMED Production Release 2.15.0,https://www.linkedin.com/feed/update/urn:li:activity:7345365726276251648? 
30. June 2025,ANVISA Brazil,Report,Clinical Research of Drugs and Biological Products,https://www.linkedin.com/feed/update/urn:li:activity:7343524329642467329?
30. June 2025,Egyptian Drug Authority,Guidance,Issuing a notification for import approval or a letter of lack of competence,
30. June 2025,European Commission,Status Overview,Overview of CABs/NBs at each stage of the designation process,https://www.linkedin.com/feed/update/urn:li:activity:7341848915182338053?
30. June 2025,European Commission,Regulation,(EU) 2021/2226 medical devices IFU may be provided in electronic form,https://www.linkedin.com/feed/update/urn:li:activity:7343986300032626688?
30. June 2025,European Medicines Agency,Guidance,Expert decision and opinion Clinical Evaluation Consultation Procedure (CECP),https://www.linkedin.com/feed/update/urn:li:activity:7343908377736998913?
30. June 2025,Health Canada,Guidance,New requirements for second language product monographs and package insert,
30. June 2025,Health Canada,Guidance,"Submission information for biologic drugs (Division 4,Schedule D)",https://www.linkedin.com/feed/update/urn:li:activity:7343548592986488833?
30. June 2025,"Health Products Regulatory Authority (HPRA),Ireland",Guidance,Parallel Imports of Human Medicines,
30. June 2025,"Health Sciences Authority (HSA),Singapore",Guidance,"Introducing ""SHARE"" - Your digital portal for Medical Devices",https://www.linkedin.com/feed/update/urn:li:activity:7343505906417983488? 
30. June 2025,International Council for Harmonisation,Guidance,ICH E20 Adaptive Designs for Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7343912240258932738?
30. June 2025,International Council for Harmonisation,Guidance,ICH M4Q(R2) Step 2 Presentation Now Available on the ICH Website,
30. June 2025,Medicines and Healthcare products Regulatory Agency,Collection,Airlock: the regulatory sandbox for AIaMD,https://www.linkedin.com/feed/update/urn:li:activity:7342854372608909313?
30. June 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Introducing new medicines in the NHS in the UK pathway,https://www.linkedin.com/feed/update/urn:li:activity:7342864280775536640?
30. June 2025,Medicines and Healthcare products Regulatory Agency,Report,Business Plan 2025-2026,
30. June 2025,Medicines and Healthcare products Regulatory Agency,Report,MHRA Corporate Plan 2023-26,
30. June 2025,Medicines and Healthcare products Regulatory Agency,Collection,Medicines: clinical trials hub,
30. June 2025,"NMPA-National Medical Products Administration,Peoples Republic of China",Guidance,In Vitro Diagnostic Reagents Exempted from Clinical Trials (2025) (No. 23 [2025]),https://www.linkedin.com/feed/update/urn:li:activity:7343197289072517121?
30. June 2025,Swissmedic,Forms,Swissmedic Forms for June 2025,
30. June 2025,"Therapeutic Goods Administration (TGA),Australia",Guidance,"Application to import,supply,or export,non-compliant medical devices",https://www.linkedin.com/feed/update/urn:li:activity:7343179383840366592?
30. June 2025,"Therapeutic Goods Administration (TGA),Australia",Guidance,"Determining if your product is a cosmetic,a biological or a blood component",https://www.linkedin.com/feed/update/urn:li:activity:7344244654877425665?
30. June 2025,"Therapeutic Goods Administration (TGA),Australia",Guidance,Medical devices exempt from PFAS ban,https://www.linkedin.com/feed/update/urn:li:activity:7344243141807357958?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Q1 Stability Testing of Drug Substances and Drug Products,https://www.linkedin.com/feed/update/urn:li:activity:7343174428660232193?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Early Lyme Disease as Manifested by Erythema Migrans,https://www.linkedin.com/feed/update/urn:li:activity:7343910438222409729?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Conducting Remote Regulatory Assessments Questions and Answers,https://www.linkedin.com/feed/update/urn:li:activity:7344257468845240322?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Unique Device Identifier Requirements for Combination Products,https://www.linkedin.com/feed/update/urn:li:activity:7344257085473275906?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Cybersecurity in Medical Devices: Quality System Considerations,https://www.linkedin.com/feed/update/urn:li:activity:7344256677514297344?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Antibacterial Therapies for Patients With an Unmet Medical Need Q&A,https://www.linkedin.com/feed/update/urn:li:activity:7344256310558777345?
30. June 2025,USA Food & Drug Administration FDA,Whitepaper,Securing Technology and Equipment Used for Medical Product Manufacturing,https://www.linkedin.com/feed/update/urn:li:activity:7344283687003324416?
28. June 2025,MedTech Leading Voice,Video,The QA/RA Week That Was 28. June 2025,https://www.linkedin.com/feed/update/urn:li:activity:7344682532711399424?
27. June 2025,MedTech Leading Voice,Roundup,Video Preview Regulatory Roundup 30. June 2025,https://www.linkedin.com/feed/update/urn:li:activity:7344410176369664001?
27. June 2025,"Therapeutic Goods Administration (TGA),Australia",Guidance,"Determining if your product is a cosmetic,a biological or a blood component",https://www.linkedin.com/feed/update/urn:li:activity:7344244654877425665?
27. June 2025,"Therapeutic Goods Administration (TGA),Australia",Guidance,Medical devices exempt from PFAS ban,https://www.linkedin.com/feed/update/urn:li:activity:7344243141807357958?
27. June 2025,USA Food & Drug Administration FDA,Guidance,Conducting Remote Regulatory Assessments Questions and Answers,https://www.linkedin.com/feed/update/urn:li:activity:7344257468845240322?
27. June 2025,USA Food & Drug Administration FDA,Guidance,Unique Device Identifier Requirements for Combination Products,https://www.linkedin.com/feed/update/urn:li:activity:7344257085473275906?
27. June 2025,USA Food & Drug Administration FDA,Guidance,Cybersecurity in Medical Devices: Quality System Considerations and Content of Premarket Submissions,https://www.linkedin.com/feed/update/urn:li:activity:7344256677514297344?
27. June 2025,USA Food & Drug Administration FDA,Guidance,Antibacterial Therapies for Patients With an Unmet Medical Need for the Treatment of Serious Bacterial Diseases Questions and Answers,https://www.linkedin.com/feed/update/urn:li:activity:7344256310558777345?
27. June 2025,USA Food & Drug Administration FDA,Whitepaper,Securing Technology and Equipment (Operational Technology) Used for Medical Product Manufacturing,https://www.linkedin.com/feed/update/urn:li:activity:7344283687003324416?
