Date,Agency,Category,Information,
29. September 2025,European Commission,Regulation,"(EU)2017/745 assignment of UDI for spectacle frames, spectacle lenses etc.",https://www.linkedin.com/feed/update/urn:li:activity:7376486210795642880?
29. September 2025,European Commission,Report,Explainable AI in Cardiovascular Health,https://www.linkedin.com/feed/update/urn:li:activity:7376494967910981632?
29. September 2025,European Commission,Report,The Role of Healthcare in Reducing Inequalities and Poverty in the EU,https://www.linkedin.com/feed/update/urn:li:activity:7377631462755573760?
29. September 2025,European Medicines Agency,Guidance,"Various categories of variation, Chapters II, IIa, III and IV (EC) No 1234/2008",https://www.linkedin.com/feed/update/urn:li:activity:7376152715011334144?
29. September 2025,Health Canada,Guidance,Draft guidance on the plain language labelling regulations for prescription drugs,https://www.linkedin.com/feed/update/urn:li:activity:7377212817613168640?
29. September 2025,International Council for Harmonisation,Guidance,The ICH E2D(R1) Guideline reaches Step 4 of the ICH Process,https://www.linkedin.com/feed/update/urn:li:activity:7376601668919984130?
29. September 2025,Medical Device Authority Malaysia,Announcement,Malaysia now a Member of Medical Device Single Audit Program (MDSAP),https://www.linkedin.com/feed/update/urn:li:activity:7377219146545143808?
29. September 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Drugs and pharmaceutical electronic market information tool (eMIT),https://www.linkedin.com/feed/update/urn:li:activity:7376595803009650689?
29. September 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7377327198321557504?
29. September 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Standards,Issuance of 15 Medical Device Industry Standards (No. 92 of 2025),https://www.linkedin.com/feed/update/urn:li:activity:7376166859806625792?
29. September 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Principles for On-site Inspection of Medical Device Online Sales QMS,https://www.linkedin.com/feed/update/urn:li:activity:7377624985957199872?
29. September 2025,South African Health Products Regulatory Authority,Guidance,ISO13485 prerequisite for approval of a Medical Device Establishment Licence,https://www.linkedin.com/feed/update/urn:li:activity:7376161061315563520?
29. September 2025,Swissmedic,Forms,Swissmedic Forms for September 2025,
29. September 2025,Swissmedic,Guidance,Swissdamed Technical documentation,https://www.linkedin.com/feed/update/urn:li:activity:7376481080196898816?
29. September 2025,Swissmedic,Guidance,"Reporting adverse reactions during a clinical trial with ATMPs,",https://www.linkedin.com/feed/update/urn:li:activity:7377597738122752000?
29. September 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Understanding the medical device application audit process,https://www.linkedin.com/feed/update/urn:li:activity:7376849944235675648?
29. September 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Understanding selection criteria for medical device application audits,https://www.linkedin.com/feed/update/urn:li:activity:7376849429204508672?
29. September 2025,USA Food & Drug Administration FDA,Guidance,Enforcement Policies for In Vitro Diagnostic Tests Section 564 Emergency,https://www.linkedin.com/feed/update/urn:li:activity:7376154800796893184?
29. September 2025,USA Food & Drug Administration FDA,Guidance,Malaria: Developing Drugs for Treatment,https://www.linkedin.com/feed/update/urn:li:activity:7376156916852350977?
29. September 2025,USA Food & Drug Administration FDA,Guidance,Computer Software Assurance for Production and Quality System Software,https://www.linkedin.com/feed/update/urn:li:activity:7376478427542872065?
29. September 2025,USA Food & Drug Administration FDA,Guidance,Expedited Programs for Regenerative Medicine Therapies for Serious Conditions,https://www.linkedin.com/feed/update/urn:li:activity:7376641292857921536?
29. September 2025,USA Food & Drug Administration FDA,Guidance,Methods to Capture Safety & Efficacy Data for Cell & Gene Therapy Products,https://www.linkedin.com/feed/update/urn:li:activity:7376640099603619840?
29. September 2025,USA Food & Drug Administration FDA,Guidance,Innovative Designs for Clinical Trials of Cellular & Gene Therapy Products,https://www.linkedin.com/feed/update/urn:li:activity:7376638866163933184?
