Date,Agency,Category,Information,
1. December 2025,ANVISA Brazil,Guidance,"RDC nº 359/2020 - Frequently Asked Questions (2nd Edition, Nov 25, 2025)",https://www.linkedin.com/feed/update/urn:li:activity:7399716311460651008?
1. December 2025,Drug Regulatory Authority of Pakistan,Guidance,"Lot Release of Human Vaccines, Blood Products and Anti-Sera",https://www.linkedin.com/feed/update/urn:li:activity:7399823838907371520?
1. December 2025,Egyptian Drug Authority,Guidance,Essential Requirements for Medical Device Import & Regulatory Requests,https://www.linkedin.com/feed/update/urn:li:activity:7399326046862417922?
1. December 2025,European Commission,Decision,COMMISSION DECISION (EU) 2025/2371 of  26 November 2025,https://www.linkedin.com/feed/update/urn:li:activity:7399780740294455296?
1. December 2025,European Commission,Roadmap,EUDAMED Modules Timeline â€“ November 2025,https://www.linkedin.com/feed/update/urn:li:activity:7400064909947977729?
1. December 2025,European Directorate for the Quality of Medicines & HealthCare,Meeting,Certified for success: using the CEP Procedure to elevate quality and drive trust,https://www.linkedin.com/feed/update/urn:li:activity:7400053590276608000?
1. December 2025,European Medicines Agency,Guidance,Step-by-step guide - How to evaluate an Initial CTA: RMS selection,https://www.linkedin.com/feed/update/urn:li:activity:7399326071525093376?
1. December 2025,European Medicines Agency,Guidance,Post-authorisation procedural advice for users of the centralised procedure,https://www.linkedin.com/feed/update/urn:li:activity:7399812738903986176?
1. December 2025,European Medicines Agency,Guidance,Q&A for MAHs and Notified Bodies on Drug Device Combinations,https://www.linkedin.com/feed/update/urn:li:activity:7399800818251563008?
1. December 2025,European Medicines Agency,Roadmap,Regulatory Procedure Management in IRIS roadmap (Epic 3),https://www.linkedin.com/feed/update/urn:li:activity:7399776674919182336?
1. December 2025,Health Canada,Guidance,Managing Applications for Medical Device Licences,https://www.linkedin.com/feed/update/urn:li:activity:7398623077212774400?
1. December 2025,Health Canada,Guidance,Health Canada IMDRF table of contents for medical device applications guidance,https://www.linkedin.com/feed/update/urn:li:activity:7399341647492173824?
1. December 2025,International Council for Harmonisation,Meeting,"ICH Assembly Meeting, Singapore, November 2025",https://www.linkedin.com/feed/update/urn:li:activity:7399707190753665024?
1. December 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7398963664369905664?
1. December 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines: Apply for a Variation to Your Marketing Authorisation,https://www.linkedin.com/feed/update/urn:li:activity:7399326066084835329?
1. December 2025,MedTech Europe,Position Paper,Antimicrobial Resistance (AMR) & Healthcare-Associated Infections (HAIs),https://www.linkedin.com/feed/update/urn:li:activity:7398954753659047936?
1. December 2025,Saudi Food & Drug Authority,Guidance,Draft Guideline on Good Pharmacovigilance Practices (GVP),https://www.linkedin.com/feed/update/urn:li:activity:7398962389083230208?
1. December 2025,Swissmedic,Guidance,Swissmedic Forms for November 2025,
1. December 2025,Swissmedic,Guidance,Procedure with Prior Notification (PPN) for human medicinal products,https://www.linkedin.com/feed/update/urn:li:activity:7400058490028916736?
1. December 2025,Swissmedic,Guidance,swissdamed Service Agreement (Version 3.0),https://www.linkedin.com/feed/update/urn:li:groupPost:12741229-7400586212912295936?
1. December 2025,Swissmedic,Guidance,swissdamed User Guide Playground,https://www.linkedin.com/feed/update/urn:li:activity:7400062228583956480?
1. December 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,EU MDR Transition Web Publication Service,https://www.linkedin.com/feed/update/urn:li:activity:7398616824004628480?
1. December 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Windows 10 End of Support: Potential Impact on Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7398619871762337792?
1. December 2025,USA Food & Drug Administration FDA,Guidance,Cross-Center Master Files: Where to Submit,https://www.linkedin.com/feed/update/urn:li:activity:7399696963979485184?
1. December 2025,World Health Organisation WHO,Report,AI is reshaping health systems:state of readiness across the WHO European Region,https://www.linkedin.com/feed/update/urn:li:activity:7398627436407652352?
1. December 2025,World Health Organisation WHO,Report,Artificial intelligence is reshaping health systems: country profiles,https://www.linkedin.com/feed/update/urn:li:activity:7398642142270767104?
1. December 2025,World Health Organisation WHO,Guidance,Public health intelligence competency framework,https://www.linkedin.com/feed/update/urn:li:activity:7400068276552368128?
