Date,Agency,Category,Information,
10. November 2025,European Medicines Agency,Guidance,Data Protection Notice -  Interactive Regulatory Information System (IRIS),https://www.linkedin.com/feed/update/urn:li:activity:7391366151420813312?
10. November 2025,European Medicines Agency,Opinion,"Heart Solution, Ancillary Medicinal Substance Incorporated in a Medical Device",https://www.linkedin.com/feed/update/urn:li:activity:7391372416901357568?
10. November 2025,European Medicines Agency,Guidance,Requests for fee reduction under Art. 6(5) of Regulation (EU) 2024/568,https://www.linkedin.com/feed/update/urn:li:activity:7391728704097452032?
10. November 2025,European Medicines Agency,Guidance,On-boarding of Users to SPOR Data Services,https://www.linkedin.com/feed/update/urn:li:activity:7392088532191715329?
10. November 2025,European Medicines Agency,Information,How the safety of medicines is ensured in the European Union.,https://www.linkedin.com/feed/update/urn:li:activity:7392459753584480256?
10. November 2025,Health Canada,Guidance,Filing Submissions Electronically,https://www.linkedin.com/feed/update/urn:li:activity:7392091844182192128?
10. November 2025,"Health Products Regulatory Authority (HPRA), Ireland",Guidance,Registration Requirements for Brokers of Medicinal Products in Ireland,https://www.linkedin.com/feed/update/urn:li:activity:7391392231015788547?
10. November 2025, International Electrotechnical Commission,Standard,IEC TS 81001- 2- 2:2025 -  Health software and health IT systems safety,https://www.linkedin.com/feed/update/urn:li:activity:7391014946127622144?
10. November 2025,ISO (International Organization for Standardization),Standards,"ISO Update September 1, to October 1, 2025",https://www.linkedin.com/feed/update/urn:li:activity:7392425595206545408?
10. November 2025,MedTech Europe,Response,To EC Public Consultation on Regulation (EU) 2024/1157 on Shipments of Waste,https://www.linkedin.com/feed/update/urn:li:activity:7391388543337783296?
10. November 2025,MedTech Europe,Position Paper,Digital Label for Authorised Representative and Importer,https://www.linkedin.com/feed/update/urn:li:activity:7391720032046624768?
10. November 2025,MedTech Europe,Guidance,Re-certification under the MDR and IVDR -  Frequently Asked Questions,https://www.linkedin.com/feed/update/urn:li:activity:7392084351095787520?
10. November 2025,MedTech Europe,Position Paper,Risk based approach to Post Market Clinical Follow up (PMCF),https://www.linkedin.com/feed/update/urn:li:activity:7392473035821248514?
10. November 2025,MedTech Europe,Response,Response to EC consultation on EU Circular Economy Act,https://www.linkedin.com/feed/update/urn:li:activity:7392478466572439552?
10. November 2025,MedTech Europe,Response,Revision of Directive 2012/19/EU on (WEEE),https://www.linkedin.com/feed/update/urn:li:activity:7392481201065918466?
10. November 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Regulatory considerations for therapeutic use of bacteriophages in the UK,https://www.linkedin.com/feed/update/urn:li:activity:7391398588591017985?
10. November 2025,Medicines and Healthcare products Regulatory Agency,Checklist,Reclassification Validation Checklist (Version: 3 November 2025),https://www.linkedin.com/feed/update/urn:li:activity:7391789509933318144?
10. November 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Register Medical Devices to Place on the Market,https://www.linkedin.com/feed/update/urn:li:activity:7392102819115343872?
10. November 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Modifying a Clinical Trial Approval,https://www.linkedin.com/feed/update/urn:li:activity:7392110898636701697?
10. November 2025,NMPA- National Medical Products Administration,Regulation,Good Manufacturing Practice for Medical Devices (2025 Revision),https://www.linkedin.com/feed/update/urn:li:activity:7391715579889549312?
10. November 2025,NMPA- National Medical Products Administration,Notice,New Versions of Drug Production & Radiopharmaceutical Production License,https://www.linkedin.com/feed/update/urn:li:activity:7391716928337182720?
10. November 2025,South African Health Products Regulatory Authority,Guidance,Request for Submission of Latest PSMF and Product/PV Resourcing Information,https://www.linkedin.com/feed/update/urn:li:activity:7391723044270137344?
10. November 2025,Swissmedic,Forms,Swissmedic Forms for November 2025,
10. November 2025,Swissmedic,Guidance,Drug Safety Reporting Duties in Switzerland Version 5.0,https://www.linkedin.com/feed/update/urn:li:activity:7391001314102726656?
10. November 2025,Swissmedic,Guidance,UK-CH Guidance on Veterinary Medicines Simultaneous Reviews,https://www.linkedin.com/feed/update/urn:li:activity:7391004629204967424?
10. November 2025,Swissmedic,Guidance,PSUR Signal Management Veterinary,https://www.linkedin.com/feed/update/urn:li:activity:7391008008308199425?
10. November 2025,Swissmedic,Report,Swissmedic GCP Inspections Report 2022–2024,https://www.linkedin.com/feed/update/urn:li:activity:7392454813461934080?
10. November 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Advertising Therapeutic Goods on Social Media,https://www.linkedin.com/feed/update/urn:li:activity:7391732851077177345?
10. November 2025,USA Food & Drug Administration FDA,Guidance,How to Prepare a Pre-Request for Designation (Pre-RFD),https://www.linkedin.com/feed/update/urn:li:activity:7392451165285818369?
10. November 2025,World Health Organisation WHO,Guidance,Digital transformation handbook for health product catalogue,https://www.linkedin.com/feed/update/urn:li:activity:7391381077468139520?
