Date,Agency,Category,Information,Link
12. January 2026,Central Drugs Standard Control Organization,Guidance,Risk Classification List of Medical Devices Pertaining to Oncology,https://www.linkedin.com/feed/update/urn:li:activity:7414191402575634432?
12. January 2026,Egyptian Drug Authority,Guidance,Relevant Documents & Time Frame for Human Pharmaceutical Variations,https://www.linkedin.com/feed/update/urn:li:activity:7415315235391037441?
12. January 2026,European Medicines Agency,Report,Combination Products Operational Group (COMBO): Medical Devices stream,https://www.linkedin.com/feed/update/urn:li:activity:7414912352212447232?
12. January 2026,European Medicines Agency,Report,Combination Products Operational Group (COMBO): IVD stream,https://www.linkedin.com/feed/update/urn:li:activity:7414914527907188736?
12. January 2026,European Directorate for the Quality of Medicines & HealthCare,Consultation,34 New and revised European Pharmacopoeia (Ph. Eur.) texts,https://www.linkedin.com/feed/update/urn:li:activity:7415353777010233344?
12. January 2026,"Health Products Regulatory Authority (HPRA), Ireland",Form,Application for Licence for Category 1 Precursor Chemicals,https://www.linkedin.com/feed/update/urn:li:activity:7414932173142654976?
12. January 2026,International Council for Harmonisation,Guidance,ICH Harmonised E22 Draft Guideline (Explainer),https://www.linkedin.com/feed/update/urn:li:activity:7414587083979268096?
12. January 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7415034700710498304?
12. January 2026,Medicines and Healthcare products Regulatory Agency,Guidance,MHRA fees document,https://www.linkedin.com/feed/update/urn:li:activity:7415042767007158272?
12. January 2026,NMPA-National Medical Products Administration,Guidance,Adjustment Table of Some Contents - Medical Device Classification Catalo,https://www.linkedin.com/feed/update/urn:li:activity:7414556739032891392?
12. January 2026,NMPA-National Medical Products Administration,Guidance,Supervision and Administration of Drug Entrusted Production (No. 134 of 2025),https://www.linkedin.com/feed/update/urn:li:activity:7414561426218020864?
12. January 2026,Department of Health Hong Kong Special Administration,Guidance,Listing of Importers of Medical Devices (GN-07),https://www.linkedin.com/feed/update/urn:li:activity:7414198205657174016?
12. January 2026,Department of Health Hong Kong Special Administration,Guidance,Listing of Local Manufacturers (GN-08),https://www.linkedin.com/feed/update/urn:li:activity:7414198205657174016?
12. January 2026,Department of Health Hong Kong Special Administration,Guidance,Listing of Distributors (GN-09),https://www.linkedin.com/feed/update/urn:li:activity:7414198205657174016?
12. January 2026,Swissmedic,Forms,Swissmedic Forms for January 2026,
12. January 2026,Swissmedic,Guidance,Harmonisation of the Swiss GMP/GDP Inspection System - Directive,https://www.linkedin.com/feed/update/urn:li:activity:7414551839532318720?
12. January 2026,Swissmedic,Guidance,Scientific GMDP Meetings for establishment licence holders,https://www.linkedin.com/feed/update/urn:li:activity:7414909325225312256?
12. January 2026,"Therapeutic Goods Administration (TGA), Australia",Guidance,C1 application checklist for over-the-counter (OTC) medicines,https://www.linkedin.com/feed/update/urn:li:activity:7415315697070743552?
12. January 2026,USA Food & Drug Administration FDA,Guidance,Clinical Decision Support Software,https://www.linkedin.com/feed/update/urn:li:activity:7414566844973490176?
12. January 2026,USA Food & Drug Administration FDA,Guidance,General Wellness: Policy for Low Risk Devices,https://www.linkedin.com/feed/update/urn:li:activity:7414568484384288768?
