Date,Agency,Category,Information,
15. December 2025,ANVISA Brazil,Agenda,ANVISA  Regulatory Agenda 20262027,https://www.linkedin.com/feed/update/urn:li:activity:7402596790681640960?
15. December 2025,Central Drugs Standard Control Organization,Guidance,MedTech Mitra's In-Vitro Diagnostic Innovators Handbook,https://www.linkedin.com/feed/update/urn:li:activity:7404021986370224128?
15. December 2025,Council for International Organizations of Medical Sciences,Report,Artificial intelligence in pharmacovigilance,https://www.linkedin.com/feed/update/urn:li:activity:7403667189796597760?
15. December 2025,Council for International Organizations of Medical Sciences,Glossary,CIOMS Glossary of ICH Terms and Definitions,https://www.linkedin.com/feed/update/urn:li:activity:7404441795679432704?
15. December 2025,Egyptian Drug Authority,Guidance,Procedures for Granting Export Incentives in the Pharmaceutical Sector,https://www.linkedin.com/feed/update/urn:li:activity:7404021993630605312?
15. December 2025,Egyptian Drug Authority,Guidance,Adding/Transferring Manufacturing Site for Registered Local Human & Veterinary,https://www.linkedin.com/feed/update/urn:li:activity:7404407924174921728?
15. December 2025,European Commission,Report,"Study on the next data frontier: generative AI, regulatory compliance (No. 2024-020)",https://www.linkedin.com/feed/update/urn:li:activity:7403659603957424128?
15. December 2025,European Commission,Guidance,Q&A on general methodological & procedural issues for joint clinical assessments,https://www.linkedin.com/feed/update/urn:li:activity:7404029553087557633?
15. December 2025,European Commission,Guidance,Rolling Plan - Regulation (EU) 2021/2282 on Health Technology Assessment,https://www.linkedin.com/feed/update/urn:li:activity:7404043315823681537?
15. December 2025,European Commission,News,EU Pharmaceutical Legislation Reform: A Once-in-a-Generation Regulatory Overhaul,https://www.linkedin.com/feed/update/urn:li:activity:7405135999661461505?
15. December 2025,European Directorate for the Quality of Medicines & HealthCare,Guidance,Leaflet for Consumers: Understanding Herbal Food Supplements,https://www.linkedin.com/feed/update/urn:li:activity:7404037131175874560?
15. December 2025,European Directorate for the Quality of Medicines & HealthCare,Report,Certification Monthly Report  End of November 2025 (EDQM).,https://www.linkedin.com/feed/update/urn:li:activity:7404052309246103553?
15. December 2025,European Medicines Agency,Concept Paper,Guideline revision on good pharmacogenomic practice,https://www.linkedin.com/feed/update/urn:li:activity:7404046274615955456?
15. December 2025,European Medicines Agency,Guidance,PMS Roadmap Overview (EMA) - visual infographic outlining 2025-2027,https://www.linkedin.com/feed/update/urn:li:activity:7404048332605558784?
15. December 2025,European Medicines Agency,Guidance,Classification of changes  Q&A Update,https://www.linkedin.com/feed/update/urn:li:activity:7404056331294253056?
15. December 2025,European Medicines Agency,Guidance,Development and Manufacture of Synthetic Peptides,https://www.linkedin.com/feed/update/urn:li:activity:7404435895111811074?
15. December 2025,European Medicines Agency,Guidance,Guideline on Quality of Radiopharmaceuticals (Draft  Revision 2),https://www.linkedin.com/feed/update/urn:li:activity:7404773359445626881?
15. December 2025,European Medicines Agency,Report,Alzheimer's Disease  EU-IN Horizon Scanning Report,https://www.linkedin.com/feed/update/urn:li:activity:7404422564363776000?
15. December 2025,European Medicines Agency,Report,New Approach Methodologies  EU-IN Horizon Scanning Report,https://www.linkedin.com/feed/update/urn:li:activity:7404432007621148672?
15. December 2025,ISO (International Organization for Standardization),Standards,ISO Update 1. November to 1. December 2025,https://www.linkedin.com/feed/update/urn:li:activity:7403659603516968960?
15. December 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations for medical devices -  Guidance on notifying the MHRA,https://www.linkedin.com/feed/update/urn:li:activity:7403667147266355200?
15. December 2025,Medicines and Healthcare products Regulatory Agency,Announcement,UK Singapore: Fast-Track Pathway Breakthrough Health Technologies,https://www.linkedin.com/feed/update/urn:li:activity:7405130867372871680?
15. December 2025,"MEDSAFE, New Zealand",Guidance,Exemption for advertising unapproved medicines at medical conferences,https://www.linkedin.com/feed/update/urn:li:activity:7404420551546675200?
15. December 2025,"MEDSAFE, New Zealand",Guidance,Regulation of Therapeutic Products in New Zealand: Bioequivalence of Medicines,https://www.linkedin.com/feed/update/urn:li:activity:7404419120848326656?
15. December 2025,MedTech Europe,Position Paper,"Breakthrough, orphan and paediatric special pathways in Europe",https://www.linkedin.com/feed/update/urn:li:activity:7402698294013100033?
15. December 2025,MedTech Europe,Classification,Global In Vitro Diagnostic (GIVD) Classification  Version 2025,https://www.linkedin.com/feed/update/urn:li:activity:7404785502488256512?
15. December 2025,"Ministerio De Sanidad, Spain",Guidance,PS 1/2025 obtaining the prior operating licence for medical device facilities,https://www.linkedin.com/feed/update/urn:li:activity:7404052198986317827?
15. December 2025,South African Health Products Regulatory Authority,Update,SAHPRA Engagement Portal  Launch Update,https://www.linkedin.com/feed/update/urn:li:activity:7404771182345986048?
15. December 2025,Swissmedic,Forms,Swissmedic Forms for December 2025,
15. December 2025,Swissmedic,Guidance,Mandatory due diligence by Swiss firms in foreign trade with medicinal products,https://www.linkedin.com/feed/update/urn:li:activity:7404410496403079168?
15. December 2025,USA Food & Drug Administration FDA,Guidance,Promotional Labeling  & Advertising Considerations for Prescription Biologics,https://www.linkedin.com/feed/update/urn:li:activity:7404413472689737729?
