Date,Agency,Category,Information,
27. October 2025,ANVISA Brazil,Guidance,Regularization of Medical Equipment and Software as a Medical Device,https://www.linkedin.com/feed/update/urn:li:activity:7387021406208679937?
27. October 2025,Central Drugs Standard Control Organization,Guidance,Guidance Document on Medical Device Software,https://www.linkedin.com/feed/update/urn:li:activity:7386639638162989056?
27. October 2025,Central Drugs Standard Control Organization,Standards,Medical Equipment and Hospital Planning Department (MHD),https://www.linkedin.com/feed/update/urn:li:activity:7387000408378097664?
27. October 2025,Drug Regulatory Authority of Pakistan,Guidance,Clinical trials or bio-similarity studies of locally manufactured biologic drugs,https://www.linkedin.com/feed/update/urn:li:activity:7354396213992931330?
27. October 2025,European Commission,Standards,"surgical clothing & drapes, medical face masks & sterilizers for medical purposes",https://www.linkedin.com/feed/update/urn:li:activity:7386319941525880832?
27. October 2025,European Commission,Regulation,Rules & templates for Joint Clinical Assessments of MDs & IVDs under HTA,https://www.linkedin.com/feed/update/urn:li:activity:7386318923153055744?
27. October 2025,European Commission,Update,Notified Body Update (51) Active MDR (19) IVDR,https://www.linkedin.com/feed/update/urn:li:activity:7386336687624470528?
27. October 2025,European Commission,Regulation,Additional procedural rules relating to the enforcement of the GDPR,https://www.linkedin.com/feed/update/urn:li:activity:7388259024548515840?
27. October 2025,European Commission,Guidance,"11. Webinars on eHealth Network, MyHealth@EU and eHN Guidelines",https://www.linkedin.com/feed/update/urn:li:activity:7387409639304339457?
27. October 2025,European Directorate for the Quality of Medicines & HealthCare,News,Changes to e-submission requirements for CEP applications,https://www.linkedin.com/feed/update/urn:li:activity:7386013872488611840?
27. October 2025,European Directorate for the Quality of Medicines & HealthCare,Position Paper,Risks To Safety And Quality In Donor Screening and SohO Preparations,https://www.linkedin.com/feed/update/urn:li:activity:7386303073998094337?
27. October 2025,European Directorate for the Quality of Medicines & HealthCare,Position Paper,Promotion & Facilitation of Unethical International Travel for Transplantation,https://www.linkedin.com/feed/update/urn:li:activity:7386642574192832512?
27. October 2025,European Directorate for the Quality of Medicines & HealthCare,Outcome Statement,Council of Europe Conference on Health Protection,https://www.linkedin.com/feed/update/urn:li:activity:7387813000386129920?
27. October 2025,European Medicines Agency,Reflection Paper,Non-Human Primates in Safety Testing & Opportunities for 3Rs,https://www.linkedin.com/feed/update/urn:li:activity:7387387570172686336?
27. October 2025,European Medicines Agency,Qualification Opinion,Molecule-Independent Device Bridging Approach (MIDBA),https://www.linkedin.com/feed/update/urn:li:activity:7387801204669493248?
27. October 2025,European Medicines Agency,Consultation,Guideline on Quality Aspects of Phage Therapy Medicinal Products,https://www.linkedin.com/feed/update/urn:li:activity:7387808539752439808?
27. October 2025,MedTech Europe,Call To Action,Antimicrobial Resistance and Healthcare-Associated Infections,https://www.linkedin.com/feed/update/urn:li:activity:7387373242908508160?
27. October 2025,Medicines and Healthcare products Regulatory Agency,Recording,"Aligned Decisions, Faster Patient Access - 1 October 2025",https://www.linkedin.com/feed/update/urn:li:activity:7387382337178591232?
27. October 2025,"Ministerio De Sanidad, Spain",Regulation,"Real Decreto 942/2025, por el que se regulan los productos sanitarios para IVD",https://www.linkedin.com/feed/update/urn:li:activity:7387714576554815488?
27. October 2025,Swissmedic,Forms,Swissmedic Forms for October 2025,
27. October 2025,"Therapeutic Goods Administration (TGA), Australia",Checklist,Restricted Representation Application Checklist,https://www.linkedin.com/feed/update/urn:li:activity:7387817068810743808?
27. October 2025,USA Food & Drug Administration FDA,Guidance,Expanded Access to Investigational Drugs for Treatment Use: Q&A,https://www.linkedin.com/feed/update/urn:li:activity:7386992217820774400?
27. October 2025,USA Food & Drug Administration FDA,Guidance,"Selecting, Developing, or Modifying Fit-for-Purpose Clinical Outcomes",https://www.linkedin.com/feed/update/urn:li:activity:7386995145298268160?
27. October 2025,USA Food & Drug Administration FDA,Guidance,Filing Checklists to Prevent Submission Delays,https://www.linkedin.com/feed/update/urn:li:activity:7387424049930534912?
