Date,Agency,Category,Information,
19. January 2026,Egyptian Drug Authority,Guidance,Bioequivalence Studies for Generic Veterinary Medicinal Products,https://www.linkedin.com/feed/update/urn:li:activity:7417449784980152320?
19. January 2026,European Commission,Report,Study on Regulatory Governance and Innovation in the field of Medical Devices,https://op.europa.eu/en/publication-detail/-/publication/f0bde7f0-e078-11f0-8439-01aa75ed71a1/language-en
19. January 2026,European Commission,Report,Report on Emerging Health Technologies - 2025,https://www.linkedin.com/feed/update/urn:li:activity:7416735064589393920?
19. January 2026,European Medicines Agency,Expert Panel,Support for Breakthrough Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7416724441293807616?
19. January 2026,European Medicines Agency,Guidance,Guiding principles of good AI practice in drug development,https://www.linkedin.com/feed/update/urn:li:activity:7417249524701667329?
19. January 2026,European Medicines Agency,Guidance,(CECP) Opinions Issued for Medical Devices Awaiting Conformity Assessment,https://www.linkedin.com/feed/update/urn:li:activity:7417440140773720064?
19. January 2026,European Medicines Agency,Guidance,Post-authorisation procedural advice for users of the centralised procedure,https://www.linkedin.com/feed/update/urn:li:activity:7417836446394261504?
19. January 2026,European Medicines Agency,Guidance,Clinical investigation of medicinal products for the treatment of PAOD,https://www.linkedin.com/feed/update/urn:li:activity:7417839711056072704?
19. January 2026,European Directorate for the Quality of Medicines & HealthCare,Report,Certification Monthly Report End of December 2025 (EDQM).,https://www.linkedin.com/feed/update/urn:li:activity:7417102496382382080?
19. January 2026,International Electrotechnical Commission,Standard,IEC Update: 1. - 31. December 2025,https://www.linkedin.com/feed/update/urn:li:activity:7416358308145463296?
19. January 2026,Health Canada,Consultation,Draft ICH Documents for Consultation,https://www.linkedin.com/feed/update/urn:li:activity:7417112575936737280?
19. January 2026,Health Canada,Guidance,(ICH) - Guidelines Implemented by Health Canada,https://www.linkedin.com/feed/update/urn:li:activity:7417215509710065664?
19. January 2026,"Health Sciences Authority (HSA), Singapore",Guidance,miv-checklist-for-class-2-ctgtp,https://www.linkedin.com/feed/update/urn:li:activity:7417446893624107008?
19. January 2026,ISO (International Organization for Standardization),Standards,ISO Update 1. December 2025 to 1. January 2026,https://www.linkedin.com/feed/update/urn:li:activity:7416732660196315136?
19. January 2026,International Council for Harmonisation,Guidance,Information Paper Regarding Alignment with ICH E2D(R1) Guideline,https://www.linkedin.com/feed/update/urn:li:activity:7417843035259957248?
19. January 2026,International Council for Harmonisation,Guidance,Mapping R1 versus R2 - ICH M4Q(R2) Mapping Document,https://www.linkedin.com/feed/update/urn:li:activity:7417846303579070464?
19. January 2026,International Council for Harmonisation,Guidance,Interpretation and Application of ICH E6(R3): Good Clinical Practice - Module 4,https://www.linkedin.com/feed/update/urn:li:activity:7417858614343798785?
19. January 2026,Medical Device Authority Malaysia,Press Release,Regulation of aesthetic and cosmetic medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7416741348088737792?
19. January 2026, Department of Health and Social Care,Report,Patient views on medical devices prescribed to them outside of hospital in England,https://www.linkedin.com/feed/update/urn:li:activity:7417833342257127424?
19. January 2026,Medicines and Healthcare products Regulatory Agency,Guidance,Medicines: clinical trials hub,https://www.linkedin.com/feed/update/urn:li:activity:7416748017799806976?
19. January 2026,Medicines and Healthcare products Regulatory Agency,Guidance,IMP+Device Review Investigational Medicinal Product + Investigational Device,https://www.linkedin.com/feed/update/urn:li:activity:7416809802921730048?
19. January 2026,NMPA-National Medical Products Administration,Standards,Establishment of Two Recommended Medical Device Industry Standards,https://www.linkedin.com/feed/update/urn:li:activity:7418709143747907584?
19. January 2026,Swissmedic,Forms,Swissmedic Forms for January 2026,
19. January 2026,USA Food & Drug Administration FDA,Guidance,Use of Bayesian Methodology in Clinical Trials of Drug and Biological Products,https://www.linkedin.com/feed/update/urn:li:activity:7416737963868581888?
19. January 2026,USA Food & Drug Administration FDA,Guidance,Guiding principles of good AI practice in drug development,https://www.linkedin.com/feed/update/urn:li:activity:7417248694183452672?
