Date,MedTech Leading Voice,Category,Title,Link
04. January 2026,MedTech Leading Voice,Newsletter,Clinical Data Under MDR: Understanding the Proposed Changes,https://www.linkedin.com/pulse/clinical-data-under-mdr-understanding-proposed-changes-sean-smith-lyo4c
28. December 2025,MedTech Leading Voice,Newsletter,FDA Updates Recognized Standards Database Plus,https://www.linkedin.com/pulse/fda-updates-recognized-standards-database-plus-mlv-2025-sean-smith-k7p2c
21. December 2025,MedTech Leading Voice,Newsletter,A New Phase of MDR/IVDR Reform Begins Plus this week,https://www.linkedin.com/pulse/new-phase-mdrivdr-reform-begins-plus-weeks-highlights-sean-smith-ikp6c
14. December 2025,MedTech Leading Voice,Newsletter,The 2025 Revision of ISO 10993-1 Signals a New Era for Biocompatibility and Risk-Based Evaluation,https://www.linkedin.com/pulse/2025-revision-iso-10993-1-signals-new-era-risk-based-evaluation-sean-afouc
11. December 2025,MedTech Leading Voice,Newsletter,Seven Traits That Define Strong MedTech Lead Auditors,https://www.linkedin.com/pulse/seven-traits-define-strong-medtech-lead-auditors-sean-smith-0dcxc
10. December 2025,MedTech Leading Voice,Newsletter,Why Two Clinical Research Leaders Built Franklyn Health CRO in 2025,https://www.linkedin.com/pulse/why-two-clinical-research-leaders-built-franklyn-health-sean-smith-oeavc
07. December 2025,MedTech Leading Voice,Newsletter,Hidden Validation Risks of AI in MedTech Manufacturing: Why Model Drift Matters for 2025,https://www.linkedin.com/pulse/hidden-validation-risks-ai-medtech-manufacturing-why-model-sean-smith-v5bqe
05. December 2025,MedTech Leading Voice,Newsletter,5 Ways Human Factors Sink FDA Submissions,https://www.linkedin.com/pulse/5-ways-human-factors-sink-fda-submissions-sean-smith-svile
30. November 2025,MedTech Leading Voice,Newsletter,ISO/DIS 18969 Drops as EUDAMED Goes Mandatory,https://www.linkedin.com/pulse/isodis-18969-drops-eudamed-goes-mandatory-sean-smith-vahee
23. November 2025,MedTech Leading Voice,Newsletter,ISO 10993-1:2025 Published Despite FDA Opposition,https://www.linkedin.com/pulse/iso-10993-12025-published-despite-fda-opposition-sean-smith-innge
17. November 2025,MedTech Leading Voice,Newsletter,UNESCO Moves to Regulate Neurotechnology,https://www.linkedin.com/pulse/unesco-moves-regulate-neurotechnology-sean-smith-kjcue
10. November 2025,MedTech Leading Voice,Newsletter,10 Early Decisions That Make MedTech Payers Say YES!,https://www.linkedin.com/pulse/10-early-decisions-make-medtech-payers-say-yes-sean-smith-eqx5e
09. November 2025,MedTech Leading Voice,Newsletter,Introducing ISO/IEC TS 42119-2:2025: The First AI Testing Standard Lands,https://www.linkedin.com/pulse/introducing-isoiec-ts-42119-22025-first-ai-testing-standard-smith-bpsne
02. November 2025,MedTech Leading Voice,Newsletter,IEC 62304 Takes Center Stage: Mapping Software Standards to FDA Submissions,https://www.linkedin.com/pulse/iec-62304-takes-center-stage-mapping-software-standards-sean-smith-8li8e
26. October 2025,MedTech Leading Voice,Newsletter,eIFU Implementation; Clinical Study Planning: The New Compliance Essentials,https://www.linkedin.com/pulse/eifu-implementation-clinical-study-planning-new-compliance-sean-smith-oo9je
24. October 2025,MedTech Leading Voice,Newsletter,National Legal Frameworks and Sanctions for PRRCs in Europe,https://www.linkedin.com/pulse/national-legal-frameworks-sanctions-prrcs-europe-sean-smith-nzkoe
19. October 2025,MedTech Leading Voice,Newsletter,UK-US Regulatory Partnership; Global AI Alignment,https://www.linkedin.com/pulse/uk-us-regulatory-partnership-global-ai-alignment-sean-smith-xtjje
12. October 2025,MedTech Leading Voice,Newsletter,Patient Experience Data: 3 Core Principles,https://www.linkedin.com/pulse/patient-experience-data-3-core-principles-sean-smith-x2ote
09. October 2025,MedTech Leading Voice,Newsletter,Day 2 RAPS Convergence: EU Notified Bodies Share Critical Implementation Insights,https://www.linkedin.com/pulse/day-2-raps-convergence-eu-notified-bodies-share-critical-sean-smith-cls9e
05. October 2025,MedTech Leading Voice,Newsletter,FDA Strategy 2025: What's Really Happening,https://www.linkedin.com/pulse/fda-strategy-2025-whats-really-happening-sean-smith-y1rpe
04. October 2025,MedTech Leading Voice,Newsletter,10 Things FDA Can't Do Right Now (and what it means for your MedTech submissions),https://www.linkedin.com/pulse/10-things-fda-cant-do-right-now-what-means-your-medtech-sean-smith-gscve
29. September 2025,MedTech Leading Voice,Newsletter,EU AI Act Countdown: A 20252027 Pl,https://www.linkedin.com/pulse/eu-ai-act-countdown-20252027-plan-leaders-can-run-now-sean-smith-y7v0e
28. September 2025,MedTech Leading Voice,Newsletter,"MDCG 2025-X Trend Reporting Q&A: Trend Reporting Gets Concrete",https://www.linkedin.com/pulse/mdcg-2025-x-trend-reporting-qa-gets-concrete-sean-smith-rhshe
21. September 2025,MedTech Leading Voice,Newsletter,Borderline Products Under EU MDR: EC Manual v4 Clarifications for Product Classification,https://www.linkedin.com/pulse/borderline-products-under-eu-mdr-ec-manual-v4-product-sean-smith-rhxhe
14. September 2025,MedTech Leading Voice,Newsletter,THREE OVERLOOKED MEDTECH EVIDENCE ENGINES,https://www.linkedin.com/pulse/three-overlooked-medtech-evidence-engines-sean-smith-gkzce
10. September 2025,MedTech Leading Voice,Newsletter,"Human Factors, RWE, and In-Silico Working",https://www.linkedin.com/pulse/human-factors-rwe-in-silicoworking-together-new-webinar-sean-smith-c4ute
08. September 2025,MedTech Leading Voice,Newsletter,Annex XVI: When Are Cosmetics Medical Devices?,https://www.linkedin.com/pulse/annex-xvi-when-cosmetics-medical-devices-sean-smith-jt1lc
